Offense_Description,Report_Date,Full_Address
Theft,29-Jun-15,503 E CESAR CHAVEZ ST                                                                               Austin TX 78701
Burglary,13-Dec-16,605 THRUSH AVE                                                                                      Austin TX 78753
Theft,30-Nov-16,1100 S LAMAR BLVD                                                                                   Austin TX 78704
Theft,11-Dec-16,11200 LAKELINE MALL DR                                                                              Austin TX 78613
Theft,30-Jun-16,1318 LAMAR SQUARE DR                                                                                Austin TX 78704
Theft,8-May-15,1802 NORTHWOOD RD                                                                                   Austin TX 78703
Theft: All Other Larceny,05/14/2014 12:00:00 AM,3818 SPICEWOOD SPRINGS RD WB                                                                        Austin TX 78759
Burglary,4-Jun-15,10001 N IH 35 SVRD NB                                                                               Austin TX 78753
Theft,20-Jun-15,1910 W BRAKER LN                                                                                    Austin TX 78758
Theft: BOV,08/25/2014 12:00:00 AM,5608 PALO BLANCO CT                                                                                 Austin TX 78744
Theft,17-Nov-15,2520 S IH 35 SVRD SB                                                                                Austin TX 78704
Theft,1-Jun-15,5710 SANDHURST CIR                                                                                  Austin TX 78723
Theft: Auto Theft,1-May-15,10502 BROWNIE DR                                                                                    Austin TX 78753
Theft,20-Dec-16,8500 N IH 35 SB                                                                                     Austin TX 78753
Theft,31-Mar-16,4800 S IH 35 SVRD SB                                                                                Austin TX 78745
Theft,31-Mar-15,3310 CATALINA DR                                                                                    Austin TX 78741
Agg Assault,1-Apr-15,1509 S LAMAR BLVD                                                                                   Austin TX 78704
Theft: Auto Theft,29-Sep-16,7301 N FM 620 RD                                                                                    Austin TX 78726
Theft,9-Dec-16,4904 SUMMERSET TRL                                                                                  Austin TX 78749
Theft,12-Feb-16,419 TILLERY ST                                                                                      Austin TX 78702
Theft: Auto Theft,14-Jan-16,1508 REAGAN HILL DR                                                                                 Austin TX 78752
Aggravated Assault,01/30/2014 12:00:00 AM,407 E 6TH ST                                                                                        Austin TX 78701
Burglary,2-Jul-15,6406 N IH 35 SVRD SB                                                                                Austin TX 78752
Theft: All Other Larceny,10/08/2014 12:00:00 AM,6410 MC NEIL DR                                                                                     Austin TX 78729
Theft: Shoplifting,12/12/2014 12:00:00 AM,1030 NORWOOD PARK BLVD                                                                              Austin TX 78753
Theft: BOV,05/11/2014 12:00:00 AM,E 6TH ST / NAVASOTA ST                                                                              Austin TX 78702
Theft: BOV,01/01/2014 12:00:00 AM,12114 WANDER LN                                                                                     Austin TX 78750
Agg Assault,13-Jul-15,12221 N MOPAC EXPY SVRD NB                                                                          Austin TX 78758
Burglary,4-Oct-16,1201 RUTLAND DR                                                                                     Austin TX 78758
Theft,24-Dec-16,1000 E 41ST ST                                                                                      Austin TX 78751
Theft,30-Mar-16,409 E WILLIAM CANNON DR                                                                             Austin TX 78745
Theft: Auto Theft,23-Dec-16,2401 SAN GABRIEL ST                                                                                 Austin TX 78705
Theft,12-May-15,2316 WEBBERVILLE RD                                                                                 Austin TX 78702
Theft: BOV,01/25/2014 12:00:00 AM,7010 W SH 71                                                                                        Austin TX 78735
Theft,11-Nov-15,11200 LAKELINE MALL DR                                                                              Austin TX 78613
Theft,16-Dec-16,5033 W US 290 HWY SVRD EB                                                                           Austin TX 78749
Burglary: Breaking & Entering,11/21/2014 12:00:00 AM,8210 RESEARCH BLVD SB                                                                               Austin TX 78757
Theft,11-Apr-16,4010 EDGEROCK DR                                                                                    Austin TX 78731
Theft: Auto Theft,09/22/2014 12:00:00 AM,6700 MIDDLE FISKVILLE RD                                                                            Austin TX 78752
Theft: All Other Larceny,01/29/2014 12:00:00 AM,115 SANDRA MURAIDA WAY                                                                              Austin TX 78703
Theft: BOV,06/16/2014 12:00:00 AM,2504 VASSAL DR                                                                                      Austin TX 78748
Theft,3-Mar-16,6307 BLUFF SPRINGS RD                                                                               Austin TX 78744
Theft: from Building,12/09/2014 12:00:00 AM,10010 ANDERSON MILL RD                                                                              Austin TX 78750
Theft: All Other Larceny,07/27/2014 12:00:00 AM,2901 S CAPITAL OF TEXAS HWY NB                                                                      Austin TX 78746
Theft,23-Nov-16,7601 PECCARY DR                                                                                     Austin TX 78744
Theft: BOV,11/15/2014 12:00:00 AM,5510 S IH 35 SVRD NB                                                                                Austin TX 78744
Theft: All Other Larceny,06/09/2014 12:00:00 AM,2301 DEVONSHIRE DR                                                                                  Austin TX 78723
Theft,26-Apr-16,601 E 15TH ST                                                                                       Austin TX 78701
Theft: All Other Larceny,12/28/2014 12:00:00 AM,10107 RESEARCH BLVD NB                                                                              Austin TX 78759
Theft,22-Jun-15,2306 ROGGE LN                                                                                       Austin TX 78723
Theft: Auto Theft,12/02/2014 12:00:00 AM,9971 QUAIL BLVD                                                                                     Austin TX 78758
Theft: BOV,09/24/2014 12:00:00 AM,10614 RESEARCH BLVD SVRD SB                                                                         Austin TX 78759
Theft,23-Apr-15,6718 SILVERMINE DR                                                                                  Austin TX 78736
Theft,29-May-16,6507 JESTER BLVD                                                                                    Austin TX 78750
Theft,10-Dec-16,7217 BENNETT AVE                                                                                    Austin TX 78752
Burglary,20-Jul-15,6100 LANGHAM ST                                                                                     Austin TX 78741
Theft,13-Aug-15,E STASSNEY LN / S CONGRESS AVE                                                                      Austin TX 78745
Agg Assault,4-Sep-15,2538 ELMONT DR                                                                                      Austin TX 78741
Agg Assault,25-Mar-15,2250 RIDGEPOINT DR                                                                                  Austin TX 78754
Theft: BOV,02/24/2014 12:00:00 AM,10210 ANNIE OAKLEY TRL                                                                              Austin TX 78753
Theft,28-Jul-15,1200 E 11TH ST                                                                                      Austin TX 78702
Theft,9-Aug-16,11220 LOS ARBOLES CIR                                                                               Austin TX 78617
Theft,29-Sep-16,1434 W WELLS BRANCH PKWY                                                                            Austin TX 78660
Theft,14-Oct-15,MONTOPOLIS DR / MARIGOLD TER                                                                        Austin TX 78741
Burglary,17-Mar-16,12845 N US 183 HWY SVRD NB                                                                          Austin TX 78729
Burglary: Breaking & Entering,12/15/2014 12:00:00 AM,2505 LONGVIEW ST                                                                                    Austin TX 78705
Theft: All Other Larceny,06/26/2014 12:00:00 AM,11700 NORWEGIAN WOOD                                                                                Austin TX 78758
Theft,23-May-15,4120 VALLEY VIEW RD                                                                                 Austin TX 78704
Theft: BOV,12/29/2014 12:00:00 AM,402 PAMPA DR                                                                                        Austin TX 78752
Theft,8-Sep-16,6405 S IH 35 SVRD NB                                                                                Austin TX 78744
Theft,19-Jun-15,207 SAN JACINTO BLVD                                                                                Austin TX 78701
Theft: BOV,10/31/2014 12:00:00 AM,6211 MARIGOLD TER                                                                                   Austin TX 78741
Agg Assault,21-May-16,12989 N US 183 HWY SVRD NB                                                                          Austin TX 78729
Theft: Auto Theft,31-Jan-16,6201 SNEED CV                                                                                       Austin TX 78744
Theft: All Other Larceny,08/02/2014 12:00:00 AM,6001 S IH 35 SVRD NB                                                                                Austin TX 78744
Theft,4-Apr-15,12900 N IH 35 SVRD SB                                                                               Austin TX 78753
Theft: Auto Theft,30-May-15,7513 N IH 35 SVRD NB                                                                                Austin TX 78752
Theft,10-Feb-16,801 TILLERY ST                                                                                      Austin TX 78702
Theft,4-Mar-15,1706 E WILLIAM CANNON DR                                                                            Austin TX 78744
Theft,25-Feb-15,710 E BEN WHITE BLVD SVRD EB                                                                        Austin TX 78745
Theft: All Other Larceny,05/12/2014 12:00:00 AM,2901 S CAPITAL OF TEXAS HWY NB                                                                      Austin TX 78746
Theft,3-Apr-15,4001 W WILLIAM CANNON DR                                                                            Austin TX 78749
Burglary,9-Apr-15,9422 BROWN LN                                                                                       Austin TX 78754
Theft,19-Jan-15,2100 BARTON SPRINGS RD                                                                              Austin TX 78746
Theft: Auto Parts,05/08/2014 12:00:00 AM,2002 WHITIS AVE                                                                                     Austin TX 78705
Theft: BOV,03/17/2014 12:00:00 AM,CATTLE TRL / BILL HICKCOCK PASS                                                                     Austin TX 78748
Theft,29-Jan-16,5621 N IH 35 SVRD NB                                                                                Austin TX 78723
Theft: BOV,04/28/2014 12:00:00 AM,3500 GREENWAY                                                                                       Austin TX 78705
Theft,25-May-16,12100 PARK THIRTY FIVE CIR                                                                          Austin TX 78753
Theft,30-Jan-15,20 N IH 35 SVRD SB                                                                                  Austin TX 78701
Theft,18-Dec-16,11000 MIDDLE FISKVILLE RD                                                                           Austin TX 78753
Theft,3-Jun-16,12900 N IH 35 SVRD SB                                                                               Austin TX 78753
Burglary,4-Jul-15,12311 KNOLL RIDGE DR                                                                                Austin TX 78758
Theft: All Other Larceny,11/14/2014 12:00:00 AM,6929 AIRPORT BLVD                                                                                   Austin TX 78752
Theft,10-Aug-16,1817 E OLTORF ST                                                                                    Austin TX 78741
Theft,29-Mar-16,8071 N LAMAR BLVD NB                                                                                Austin TX 78753
Theft: All Other Larceny,08/19/2014 12:00:00 AM,6118 FAIRWAY ST                                                                                     Austin TX 78741
Theft: All Other Larceny,03/03/2014 12:00:00 AM,10614 RESEARCH BLVD SVRD SB                                                                         Austin TX 78759
Theft: BOV,10/02/2014 12:00:00 AM,11915 STONEHOLLOW DR                                                                                Austin TX 78758
Burglary,12-May-16,505 W SLAUGHTER LN                                                                                  Austin TX 78748
Theft: BOV,12/06/2014 12:00:00 AM,902 LUND ST                                                                                         Austin TX 78704
Theft,19-Nov-15,7112 ED BLUESTEIN BLVD SB                                                                           Austin TX 78723
Theft,12-May-15,3800 PROMONTORY POINT DR                                                                            Austin TX 78744
Theft,12-Dec-16,4201 SUPPLY CT                                                                                      Austin TX 78744
Theft,9-Jun-15,1902 FOREST HILL DR                                                                                 Austin TX 78745
Theft,1-Jan-16,9600 S IH 35 SVRD SB                                                                                Austin TX 78748
Theft,21-May-16,4118 S IH 35 SVRD SB                                                                                Austin TX 78745
Theft: BOV,09/14/2014 12:00:00 AM,5905 BELFAST DR                                                                                     Austin TX 78723
Theft,11-Dec-16,1941 GASTON PLACE DR                                                                                Austin TX 78723
Theft,15-Jul-15,1105 W MONROE ST                                                                                    Austin TX 78704
Theft,14-Jul-16,1207 MONTOPOLIS DR                                                                                  Austin TX 78741
Theft,5-May-16,211 WALTER SEAHOLM DR                                                                               Austin TX 78703
Burglary,12-Jun-16,2505 LONGVIEW ST                                                                                    Austin TX 78705
Theft,8-Dec-16,2111 MONTCLAIRE ST                                                                                  Austin TX 78704
Theft,23-Oct-15,121 E OLTORF ST                                                                                     Austin TX 78704
Theft,15-Jun-15,1819 S PLEASANT VALLEY RD                                                                           Austin TX 78741
Theft: BOV,08/04/2014 12:00:00 AM,1416 E 37TH ST                                                                                      Austin TX 78722
Theft,3-Oct-16,3225 AMY DONOVAN PLZ                                                                                Austin TX 78758
Theft: All Other Larceny,10/27/2014 12:00:00 AM,2320 GRACY FARMS LN                                                                                 Austin TX 78758
Theft,29-Jun-15,1500 W 35TH ST                                                                                      Austin TX 78731
Theft: Auto Theft,23-Feb-15,11616 FENCE POST TRL                                                                                Austin TX 78750
Theft,23-Dec-15,2911 MEDICAL ARTS ST                                                                                Austin TX 78705
Theft,18-Mar-16,3220 DUVAL RD                                                                                       Austin TX 78759
Theft,17-Jan-16,1201 W 38TH ST                                                                                      Austin TX 78705
Theft,26-Jul-16,6503 BLUFF SPRINGS RD                                                                               Austin TX 78744
Theft,3-Jul-16,1714 PATTON LN                                                                                      Austin TX 78723
Theft: All Other Larceny,12/01/2014 12:00:00 AM,6001 AIRPORT BLVD                                                                                   Austin TX 78752
Agg Assault,9-Oct-16,503 SWANEE DR                                                                                       Austin TX 78752
Theft,2-May-16,714 W 22ND ST                                                                                       Austin TX 78705
Theft,2-Dec-16,2425 CROMWELL CIR                                                                                   Austin TX 78741
Theft,25-May-15,12345 LAMPLIGHT VILLAGE AVE                                                                         Austin TX 78758
Burglary: Breaking & Entering,05/12/2014 12:00:00 AM,8227 SUMMER PLACE DR                                                                                Austin TX 78759
Burglary,20-Nov-16,308 MEADOW LEA DR                                                                                   Austin TX 78745
Theft,16-Aug-16,3308 STARDUST DR                                                                                    Austin TX 78757
Theft,6-Sep-16,5431 N IH 35 SVRD NB                                                                                Austin TX 78723
Theft: BOV,03/20/2014 12:00:00 AM,303 THISTLEWOOD DR                                                                                  Austin TX 78745
Theft,24-Dec-16,701 E STASSNEY LN                                                                                   Austin TX 78745
Theft,25-Mar-16,11008 DESERT WILLOW LOOP                                                                            Austin TX 78748
Theft,26-Aug-16,8220 RESEARCH BLVD SVRD SB                                                                          Austin TX 78757
Theft,16-Aug-16,12833 N FM 620 RD NB                                                                                Austin TX 78750
Theft: BOV,07/29/2014 12:00:00 AM,8557 RESEARCH BLVD NB                                                                               Austin TX 78758
Theft,3-Apr-15,5300 S MOPAC EXPY SVRD SB                                                                           Austin TX 78749
Theft: Auto Theft,01/15/2014 12:00:00 AM,8400 RESEARCH BLVD SVRD SB                                                                          Austin TX 78757
Theft: Auto Theft,22-Sep-16,1515 WICKERSHAM LN                                                                                  Austin TX 78741
Burglary,14-Jan-16,107 W O DELL ST                                                                                     Austin TX 78752
Theft: All Other Larceny,03/05/2014 12:00:00 AM,1100 W ANDERSON LN                                                                                  Austin TX 78757
Theft,21-Apr-16,500 CANYON RIDGE DR                                                                                 Austin TX 78753
Theft,30-Jul-16,422 E 6TH ST                                                                                        Austin TX 78701
Theft,25-Jun-15,6515 S IH 35 SVRD NB                                                                                Austin TX 78744
Burglary,12-Apr-16,810 E SLAUGHTER LN                                                                                  Austin TX 78744
Theft: BOV,04/03/2014 12:00:00 AM,2707 RIO GRANDE ST                                                                                  Austin TX 78705
Theft: Pocket Picking,07/06/2014 12:00:00 AM,2508 E RIVERSIDE DR                                                                                 Austin TX 78741
Theft: All Other Larceny,03/03/2014 12:00:00 AM,7000 N MOPAC EXPY SVRD SB                                                                           Austin TX 78731
Burglary,4-Nov-16,3215 NANCY GALE DR                                                                                  Austin TX 78735
Theft,6-Mar-15,9300 S IH 35 SVRD SB                                                                                Austin TX 78748
Theft,15-Jun-15,1601 GUADALUPE ST                                                                                   Austin TX 78701
Burglary,19-Jul-16,1605 KIMMERLING LN                                                                                  Austin TX 78758
Theft,4-May-15,710 E BEN WHITE BLVD EB                                                                             Austin TX 78745
Theft,20-May-15,710 E BEN WHITE BLVD SVRD WB                                                                        Austin TX 78704
Theft,10-Oct-15,8904 TEXAS SUN DR                                                                                   Austin TX 78748
Theft: Shoplifting,11/24/2014 12:00:00 AM,12800 PEARCE LN                                                                                     Austin TX 78617
Theft,30-Jan-15,7117 WOOD HOLLOW DR                                                                                 Austin TX 78731
Burglary,21-Apr-15,2201 COLLEGE AVE                                                                                    Austin TX 78704
Theft,21-Sep-15,400 W ST ELMO RD                                                                                    Austin TX 78745
Aggravated Assault,01/21/2014 12:00:00 AM,6800 MONTANA ST                                                                                     Austin TX 78741
Theft: All Other Larceny,03/01/2014 12:00:00 AM,829 AIRPORT BLVD                                                                                    Austin TX 78721
Theft,16-Oct-15,6003 KELLAM RD                                                                                      Austin TX 78617
Theft,24-Feb-15,5901 HIGHLAND HILLS TER                                                                             Austin TX 78731
Theft,20-Sep-16,1801 E 51ST ST                                                                                      Austin TX 78723
Theft,17-Feb-16,13400 BLOCK LYNDHURST ST                                                                            Austin TX 78729
Theft,25-Aug-15,1941 WEBBERVILLE RD                                                                                 Austin TX 78721
Theft,18-Jan-15,2408 LEON ST                                                                                        Austin TX 78705
Burglary,2-Aug-16,1301 CROSSING PL                                                                                    Austin TX 78741
Burglary,8-Jul-16,1603 SOUTHGATE CIR                                                                                  Austin TX 78704
Theft: BOV,07/23/2014 12:00:00 AM,9400 ARBORETUM BLVD                                                                                 Austin TX 78759
Aggravated Assault,05/07/2014 12:00:00 AM,7201 S CONGRESS AVE                                                                                 Austin TX 78745
Theft: BOV,02/16/2014 12:00:00 AM,8500 RESEARCH BLVD SVRD SB                                                                          Austin TX 78757
Theft,29-Dec-16,835 W RUNDBERG LN                                                                                   Austin TX 78758
Theft,2-Jun-16,2508 E RIVERSIDE DR                                                                                 Austin TX 78741
Theft: Auto Theft,6-Oct-16,7303 E MEADOW BEND DR                                                                               Austin TX 78724
Burglary,30-Nov-16,4402 BRIDLEWOOD DR                                                                                  Austin TX 78727
Theft: BOV,07/27/2014 12:00:00 AM,1404 YORKSHIRE DR                                                                                   Austin TX 78723
Theft,23-Jun-15,1201 W 38TH ST                                                                                      Austin TX 78705
Theft,26-Nov-16,10000 RESEARCH BLVD SVRD NB                                                                         Austin TX 78759
Burglary: Breaking & Entering,07/01/2014 12:00:00 AM,9412 HUNTERS TRCE                                                                                   Austin TX 78758
Theft,23-Apr-15,9925 BRODIE LN                                                                                      Austin TX 78748
Burglary,11-Jul-15,8552 N LAMAR BLVD                                                                                   Austin TX 78758
Theft: All Other Larceny,04/28/2014 12:00:00 AM,1601 HASKELL ST                                                                                     Austin TX 78702
Theft: Shoplifting,01/02/2014 12:00:00 AM,3211 FEATHERGRASS CT                                                                                Austin TX 78758
Theft,5-Nov-15,10710 RESEARCH BLVD SVRD SB                                                                         Austin TX 78759
Robbery,03/19/2014 12:00:00 AM,6201 SNEED CV                                                                                       Austin TX 78744
Burglary,18-Feb-15,8101 N LAMAR BLVD NB                                                                                Austin TX 78753
Theft,29-Dec-16,835 W RUNDBERG LN                                                                                   Austin TX 78758
Theft,15-Mar-16,1110 W 6TH ST                                                                                       Austin TX 78703
Robbery,16-Oct-16,W 5TH ST / LAVACA ST                                                                                Austin TX 78701
Theft: All Other Larceny,12/03/2014 12:00:00 AM,10225 RESEARCH BLVD SVRD NB                                                                         Austin TX 78759
Theft: All Other Larceny,05/24/2014 12:00:00 AM,1030 NORWOOD PARK BLVD                                                                              Austin TX 78753
Theft,12-Apr-16,9500 S IH 35 SVRD SB                                                                                Austin TX 78748
Aggravated Assault,08/03/2014 12:00:00 AM,1221 BARTON HILLS DR                                                                                Austin TX 78704
Theft: All Other Larceny,04/24/2014 12:00:00 AM,1900 SCENIC DR                                                                                      Austin TX 78703
Theft: All Other Larceny,08/23/2014 12:00:00 AM,3600 N IH 35 SB                                                                                     Austin TX 78751
Theft,21-Feb-16,1500 E 6TH ST                                                                                       Austin TX 78702
Theft,29-Jun-16,2901 S CAPITAL OF TEXAS HWY NB                                                                      Austin TX 78746
Theft: BOV,10/14/2014 12:00:00 AM,10225 RESEARCH BLVD SVRD NB                                                                         Austin TX 78759
Theft: BOV,10/05/2014 12:00:00 AM,2600 SHOAL CREEK BLVD                                                                               Austin TX 78703
Robbery,21-Nov-15,2020 E RIVERSIDE DR                                                                                 Austin TX 78741
Theft,24-Nov-15,8801 WALL ST                                                                                        Austin TX 78754
Theft,25-Feb-15,505 E 7TH ST                                                                                        Austin TX 78701
Theft,21-Jun-16,4313 OLENICK ST                                                                                     Austin TX 78723
Theft: BOV,10/24/2014 12:00:00 AM,6307 BLUFF SPRINGS RD                                                                               Austin TX 78744
Theft: Auto Theft,8-Mar-16,4700 GUADALUPE ST                                                                                   Austin TX 78751
Theft: All Other Larceny,10/30/2014 12:00:00 AM,12148 JOLLYVILLE RD                                                                                 Austin TX 78759
Theft: All Other Larceny,07/16/2014 12:00:00 AM,7240 NORTHEAST DR                                                                                   Austin TX 78723
Theft,25-Jul-16,500 BRAZOS ST                                                                                       Austin TX 78701
Theft,11-Dec-16,2430 CROMWELL CIR                                                                                   Austin TX 78741
Theft,9-Aug-16,2106 TEAKWOOD DR                                                                                    Austin TX 78757
Theft,3-Feb-15,10413 S IH 35 SVRD NB                                                                               Austin TX 78747
Theft,19-May-15,2201 SOUTHERN OAKS DR                                                                               Austin TX 78745
Aggravated Assault,07/21/2014 12:00:00 AM,2902 SWEENEY LN                                                                                     Austin TX 78723
Theft: BOV,11/05/2014 12:00:00 AM,4220 GOCHMAN ST                                                                                     Austin TX 78723
Theft: BOV,04/05/2014 12:00:00 AM,6001 AIRPORT BLVD                                                                                   Austin TX 78752
Theft: Auto Theft,05/27/2014 12:00:00 AM,9600 S IH 35 SVRD SB                                                                                Austin TX 78748
Theft: Auto Theft,22-Jun-16,1319 MC KIE DR                                                                                      Austin TX 78752
Theft,27-Dec-15,11300 N LAMAR BLVD                                                                                  Austin TX 78758
Theft: All Other Larceny,09/10/2014 12:00:00 AM,N IH 35 SVRD NB / E US 290 HWY SVRD WB                                                              Austin TX 78752
Theft,4-Sep-16,12330 N IH 35 SVRD SB                                                                               Austin TX 78753
Theft,6-Sep-15,6301 W SLAUGHTER LN                                                                                 Austin TX 78739
Theft,9-Jul-15,1608 CLOVERLEAF DR                                                                                  Austin TX 78723
Agg Assault,21-May-16,6304 THURGOOD AVE                                                                                   Austin TX 78721
Theft,19-Dec-16,12250 RESEARCH BLVD SB                                                                              Austin TX 78759
Theft,4-Feb-15,2410 E RIVERSIDE DR                                                                                 Austin TX 78741
Theft,17-Sep-16,4809 WHISPERING VALLEY DR                                                                           Austin TX 78727
Theft,29-Jul-16,2201 E BEN WHITE BLVD SVRD EB                                                                       Austin TX 78744
Theft,12-Feb-15,2525 W ANDERSON LN                                                                                  Austin TX 78757
Theft,1-Jun-16,12905 GARFIELD LN                                                                                   Austin TX 78727
Burglary: Breaking & Entering,11/09/2014 12:00:00 AM,11200 APPLEWOOD DR                                                                                  Austin TX 78758
Theft,20-Nov-15,8202 TREEHOUSE LN                                                                                   Austin TX 78749
Theft,12-Feb-15,5606 S 1ST ST                                                                                       Austin TX 78745
Theft: All Other Larceny,02/18/2014 12:00:00 AM,719 W WILLIAM CANNON DR                                                                             Austin TX 78745
Burglary: Breaking & Entering,09/15/2014 12:00:00 AM,12116 ROXIE DR                                                                                      Austin TX 78729
Agg Assault,26-Jun-15,1714 PATTON LN                                                                                      Austin TX 78723
Theft: All Other Larceny,09/10/2014 12:00:00 AM,2620 LAKE AUSTIN BLVD                                                                               Austin TX 78703
Theft,12-Mar-16,500 W BEN WHITE BLVD SVRD EB                                                                        Austin TX 78745
Theft,11-Feb-15,605 MASTERSON PASS                                                                                  Austin TX 78753
Burglary: Breaking & Entering,09/15/2014 12:00:00 AM,201 W 31ST ST                                                                                       Austin TX 78705
Theft,13-Mar-15,9601 MIDDLE FISKVILLE RD                                                                            Austin TX 78753
Theft,15-Jun-15,1601 GUADALUPE ST                                                                                   Austin TX 78701
Theft,15-Apr-16,1204 CANTERBURY ST                                                                                  Austin TX 78702
Agg Assault,15-Feb-15,1840 BURTON DR                                                                                      Austin TX 78741
Theft: BOV,09/07/2014 12:00:00 AM,RIVERS EDGE WAY / E RIVERSIDE DR                                                                    Austin TX 78741
Theft: BOV,02/17/2014 12:00:00 AM,1100 W ANDERSON LN                                                                                  Austin TX 78757
Theft,21-Mar-16,92 RAINEY ST                                                                                        Austin TX 78701
Burglary: Breaking & Entering,04/20/2014 12:00:00 AM,2313 COCAO LN                                                                                       Austin TX 78744
Burglary,19-Oct-16,502 W OLTORF ST                                                                                     Austin TX 78704
Theft: All Other Larceny,01/19/2014 12:00:00 AM,2201 E CESAR CHAVEZ ST                                                                              Austin TX 78702
Theft,16-Apr-15,1030 NORWOOD PARK BLVD                                                                              Austin TX 78753
Theft,8-Sep-15,811 E 41ST ST                                                                                       Austin TX 78751
Theft,13-Jan-16,8605 SHOAL CREEK BLVD                                                                               Austin TX 78757
Theft: All Other Larceny,08/12/2014 12:00:00 AM,314 E HIGHLAND MALL BLVD                                                                            Austin TX 78752
Theft,21-Mar-16,407 E 45TH ST                                                                                       Austin TX 78751
Theft: Shoplifting,09/30/2014 12:00:00 AM,5011 BURNET RD                                                                                      Austin TX 78756
Theft,22-Aug-15,5017 W US 290 HWY SVRD EB                                                                           Austin TX 78749
Agg Assault,27-Nov-15,2100 WICKERSHAM LN                                                                                  Austin TX 78741
Theft,12-Dec-16,1907 PARAMOUNT AVE                                                                                  Austin TX 78704
Theft,29-Feb-16,8600 BALCONES CLUB DR                                                                               Austin TX 78750
Theft: All Other Larceny,04/05/2014 12:00:00 AM,5801 AINEZ DR                                                                                       Austin TX 78744
Theft: BOV,12/01/2014 12:00:00 AM,3901 SPEEDWAY                                                                                       Austin TX 78751
Theft,25-Jun-16,11601 DOMAIN DR                                                                                     Austin TX 78758
Theft: Auto Theft,06/09/2014 12:00:00 AM,1001 E 5TH ST                                                                                       Austin TX 78702
Burglary,29-Mar-15,1908 MISTYWOOD DR                                                                                   Austin TX 78746
Theft: Shoplifting,01/29/2014 12:00:00 AM,710 E BEN WHITE BLVD SVRD WB                                                                        Austin TX 78704
Theft: All Other Larceny,07/08/2014 12:00:00 AM,2230 GUADALUPE ST                                                                                   Austin TX 78705
Agg Assault,5-Oct-16,1500 FARO DR                                                                                        Austin TX 78741
Theft,26-Jun-16,11103 ALHAMBRA DR                                                                                   Austin TX 78759
Robbery,11/19/2014 12:00:00 AM,2500 S LAKESHORE BLVD                                                                               Austin TX 78741
Theft,7-Oct-15,7711 BLOCK BRODIE LN                                                                                Austin TX 78745
Burglary: Breaking & Entering,05/15/2014 12:00:00 AM,408 E WONSLEY DR                                                                                    Austin TX 78753
Theft,6-Dec-16,3312 OAK SPRINGS DR                                                                                 Austin TX 78721
Theft,1-Aug-16,7010 W SH 71                                                                                        Austin TX 78735
Theft: BOV,12/30/2014 12:00:00 AM,2110 DESCO DR                                                                                       Austin TX 78748
Theft,6-Dec-16,2100 POLARIS AVE                                                                                    Austin TX 78757
Agg Assault,30-Mar-16,11606 N LAMAR BLVD                                                                                  Austin TX 78758
Theft: All Other Larceny,07/12/2014 12:00:00 AM,317 E 6TH ST                                                                                        Austin TX 78701
Burglary: Breaking & Entering,02/01/2014 12:00:00 AM,707 W 30TH ST                                                                                       Austin TX 78705
Theft: BOV,02/11/2014 12:00:00 AM,2508 ENFIELD RD                                                                                     Austin TX 78703
Theft,31-Dec-15,9600 S IH 35 SVRD SB                                                                                Austin TX 78748
Theft,2-Jan-16,6705 COVERED BRIDGE DR                                                                              Austin TX 78736
Theft: All Other Larceny,01/15/2014 12:00:00 AM,5820 MALARKEY RD                                                                                    Austin TX 78617
Theft,17-May-16,3211 FEATHERGRASS CT                                                                                Austin TX 78758
Theft: All Other Larceny,11/15/2014 12:00:00 AM,500 CANYON RIDGE DR                                                                                 Austin TX 78753
Theft: Auto Theft,09/27/2014 12:00:00 AM,4205 MANCHACA RD                                                                                    Austin TX 78704
Theft,24-Jul-15,9300 S IH 35 SVRD SB                                                                                Austin TX 78748
Theft: All Other Larceny,07/21/2014 12:00:00 AM,4738 S IH 35 SVRD SB                                                                                Austin TX 78745
Theft,18-Mar-15,12151 N IH 35 SVRD NB                                                                               Austin TX 78753
Theft,6-Apr-15,811 E 11TH ST                                                                                       Austin TX 78702
Theft: Shoplifting,02/15/2014 12:00:00 AM,2508 E RIVERSIDE DR                                                                                 Austin TX 78741
Burglary,9-May-16,6509 COOPER LN                                                                                      Austin TX 78745
Theft: All Other Larceny,03/25/2014 12:00:00 AM,13858 N US 183 HWY SB                                                                               Austin TX 78750
Theft: All Other Larceny,10/23/2014 12:00:00 AM,9900 MC NEIL DR                                                                                     Austin TX 78750
Theft,10-Feb-15,722 SHELBY LN                                                                                       Austin TX 78745
Theft,2-Feb-16,3200 LAFAYETTE AVE                                                                                  Austin TX 78722
Burglary: Breaking & Entering,05/15/2014 12:00:00 AM,7000 CRYSTALBROOK DR                                                                                Austin TX 78724
Theft: BOV,04/07/2014 12:00:00 AM,1900 RIO GRANDE ST                                                                                  Austin TX 78705
Theft: All Other Larceny,12/14/2014 12:00:00 AM,1300 E RIVERSIDE DR                                                                                 Austin TX 78741
Theft: Auto Theft,21-Jun-16,2500 GUADALUPE ST                                                                                   Austin TX 78705
Theft: BOV,09/26/2014 12:00:00 AM,CANTERBURY ST / N PLEASANT VALLEY RD                                                                Austin TX 78702
Theft: All Other Larceny,07/21/2014 12:00:00 AM,1030 NORWOOD PARK BLVD                                                                              Austin TX 78753
Theft,14-Jul-15,6711 N IH 35 SVRD NB                                                                                Austin TX 78752
