Offense_Description,Report_Date,Full_Address
Theft: All Other Larceny,07/06/2014 12:00:00 AM,1030 NORWOOD PARK BLVD                                                                              Austin TX 78753
Theft,21-Jul-16,525 N LAMAR BLVD                                                                                    Austin TX 78703
Theft: All Other Larceny,04/13/2014 12:00:00 AM,600 E BEN WHITE BLVD SVRD EB                                                                        Austin TX 78745
Theft,3-Aug-16,2701 E 7TH ST                                                                                       Austin TX 78702
Theft,19-Feb-16,8801 RESEARCH BLVD SVRD NB                                                                          Austin TX 78758
Theft: All Other Larceny,10/06/2014 12:00:00 AM,9422 N LAMAR BLVD                                                                                   Austin TX 78758
Theft,15-Jun-15,4807 SPICEWOOD SPRINGS RD                                                                           Austin TX 78731
Theft: from Building,02/13/2014 12:00:00 AM,500 E 7TH ST                                                                                        Austin TX 78701
Theft,29-Sep-16,2508 E RIVERSIDE DR                                                                                 Austin TX 78741
Theft,6-Feb-16,9607 RESEARCH BLVD SVRD NB                                                                          Austin TX 78759
Robbery,3-Apr-16,1502 E 6TH ST                                                                                       Austin TX 78702
Theft,8-Nov-16,115 SANDRA MURAIDA WAY                                                                              Austin TX 78703
Theft: BOV,01/07/2014 12:00:00 AM,9070 RESEARCH BLVD SVRD SB                                                                          Austin TX 78757
Theft: Auto Parts,06/16/2014 12:00:00 AM,12403 KNOLL RIDGE DR                                                                                Austin TX 78758
Theft: All Other Larceny,08/19/2014 12:00:00 AM,6118 FAIRWAY ST                                                                                     Austin TX 78741
Theft,7-Mar-15,6407 SPRINGDALE RD                                                                                  Austin TX 78723
Aggravated Assault,11/09/2014 12:00:00 AM,6813 SUNDERLAND TRL                                                                                 Austin TX 78747
Theft,13-Jun-16,2819 FOSTER LN                                                                                      Austin TX 78757
Theft,10-Sep-15,2613 S LAMAR BLVD                                                                                   Austin TX 78704
Burglary,8-Nov-15,6904 COLONY PARK DR                                                                                 Austin TX 78724
Theft,24-Aug-16,1601 MONTOPOLIS DR                                                                                  Austin TX 78741
Burglary,15-Oct-15,5406 LARK CREEK DR                                                                                  Austin TX 78744
Theft: All Other Larceny,08/03/2014 12:00:00 AM,2505 E RIVERSIDE DR                                                                                 Austin TX 78741
