,Council District,GO Highest Offense Desc,Austin_Offense_Description,GO Report Date,Clearance Status,Clearance Date,GO District,GO Census Tract,Full_Address
139,2.0,THEFT                         ,Theft,2-Jan-16,N,5-Jan-16,F,24.02,600 W WILLIAM CANNON DR                                                                             Austin  TX  78745
140,8.0,BURGLARY OF VEHICLE           ,Theft,2-Jan-16,N,4-Jan-16,D,17.69,6705 COVERED BRIDGE DR                                                                              Austin  TX  78736
141,2.0,THEFT OF BICYCLE              ,Theft,2-Jan-16,N,5-Jan-16,F,24.11,5500 PEPPERTREE PKWY                                                                                Austin  TX  78744
142,9.0,THEFT BY SHOPLIFTING          ,Theft,2-Jan-16,N,15-Jan-16,B,7.0,1814 GUADALUPE ST                                                                                   Austin  TX  78701
143,3.0,THEFT                         ,Theft,2-Jan-16,N,16-Jan-16,G,9.02,1500 E 6TH ST                                                                                       Austin  TX  78702
144,9.0,THEFT                         ,Theft,2-Jan-16,N,6-Jan-16,G,11.0,115 SAN JACINTO BLVD                                                                                Austin  TX  78701
145,9.0,THEFT OF BICYCLE              ,Theft,2-Jan-16,N,26-Apr-16,H,23.04,1620 E RIVERSIDE DR                                                                                 Austin  TX  78741
146,10.0,BURGLARY OF VEHICLE           ,Theft,2-Jan-16,N,14-Jan-16,B,16.04,3505 W 35TH ST                                                                                      Austin  TX  78703
147,9.0,BURGLARY OF VEHICLE           ,Theft,2-Jan-16,N,14-Jan-16,B,7.0,1400 RIO GRANDE ST                                                                                  Austin  TX  78701
148,5.0,THEFT OF BICYCLE              ,Theft,2-Jan-16,N,5-Jan-16,D,20.04,4009 VICTORY DR                                                                                     Austin  TX  78704
149,9.0,THEFT                         ,Theft,2-Jan-16,N,21-Jan-16,B,16.05,2305 WINDSOR RD                                                                                     Austin  TX  78703
150,9.0,THEFT                         ,Theft,2-Jan-16,N,26-Jan-16,G,11.0,E 6TH ST / NECHES ST                                                                                Austin  TX  78701
152,5.0,THEFT                         ,Theft,3-Jan-16,N,5-Jan-16,D,13.03,1342 LAMAR SQUARE DR                                                                                Austin  TX  78704
155,3.0,BURGLARY OF VEHICLE           ,Theft,3-Jan-16,C,3-Jan-16,H,23.04,2425 ELMONT DR                                                                                      Austin  TX  78741
157,7.0,THEFT                         ,Theft,3-Jan-16,N,19-Jan-16,A,18.49,2600 GRACY FARMS LN                                                                                 Austin  TX  78758
158,1.0,THEFT                         ,Theft,3-Jan-16,N,13-Jan-16,I,18.11,1815 CORONADO HILLS DR                                                                              Austin  TX  78752
160,4.0,THEFT                         ,Theft,3-Jan-16,C,22-Jan-16,I,18.13,1030 NORWOOD PARK BLVD                                                                              Austin  TX  78753
161,9.0,THEFT                         ,Theft,3-Jan-16,N,12-Jan-16,B,6.04,2300 GUADALUPE ST                                                                                   Austin  TX  78705
166,4.0,THEFT                         ,Theft,3-Jan-16,N,4-Jan-16,I,18.13,1030 NORWOOD PARK BLVD                                                                              Austin  TX  78753
