AHI #,Project ID,Project Name,Owner,Developer,Address,Zip Code,TCAD ID,Council District,Kirwan Opportunity Index,Total Units,Total Affordable Units,Distance to High Freq. Transit,Unit Type,Housing Type,Status,Affordability Start Year,Affordability Expiration Year ,Affordability Period,Date Fee in Lieu Received,Fee in Lieu Status,Required Amount of Fee in Lieu,Units <= 30% MFI,Units <= 40% MFI,Units <= 50% MFI,Units <= 60% MFI,Units <= 65% MFI,Units <= 80% MFI,Market Rate Units,Funding,DDB,ERC,RNY,MDA,NBG,PUDDA,PUDDB,SMART,TOD,UNO,VMU,Location
76,3394,4810 West Wind Trail,Frameworks Community Development Corporation,Frameworks Community Development Corporation,4810 West Wind Trail,78745,509554,5,Moderate,4,4,1/4 Mile,FourPlex,Rental,Project Complete,2015,2114,99,,None,,0,0,4,0,0,0,0,RHDA,No,No,No,No,No,No,No,No,No,No,No,"4810 West Wind Trail
(30.227798, -97.802736)"
18,3251,2505 Village Trail Circle,Green Doors,Community Partnerships for the Homeless,2505 Village Trail Circle,78744,293028,2,Very Low,7,7,1/4 Mile,Single Family,Rental,Project Complete,2006,2026,20,,None,,7,0,0,0,0,0,0,RHDA,No,No,No,No,No,No,No,No,No,No,No,"2505 Village Trail Circle
(30.195068, -97.745986)"
230,3611,7EAST,"SL Chicon, LP","SL Chicon, LP",2025 E 7th Street,78702,771908,3,Very Low,177,18,>1/2 Mile,Multifamily,Rental,Project Complete,2015,2055,40,,None,,0,0,0,0,0,18,159,Development Incentives,No,No,No,No,No,No,No,No,No,No,Yes,"2025 E 7th Street
(33.77534, -118.167039)"
74,3391,Parkwest Condos,Frameworks Community Development Corporation,Frameworks Community Development Corporation,10616 Mellow Meadows Drive,78750,,6,Moderate,1,1,>1/2 Mile,Single Family,Rental,Project Complete,2014,2112,99,,None,,0,0,1,0,0,0,0,RHDA,No,No,No,No,No,No,No,No,No,No,No,"10616 Mellow Meadows Drive
(30.460812, -97.800892)"
23,3265,Pecan Springs Commons,Green Doors,Community Partnerships for the Homeless,5805 Sweeney Circle,78723,217255,1,Low,4,4,1/4 Mile,FourPlex,Rental,Project Complete,2009,2108,99,,None,,0,0,4,0,0,0,0,RHDA,No,No,No,No,No,No,No,Yes,No,No,No,"5805 Sweeney Circle
(30.305178, -97.679413)"
178,3559,Block on 28th,CWS Capital Partners LLC,CWS Capital Partners LLC,701 W 28th Street,78705,,9,Very High,100,10,1/4 Mile,Multifamily,Rental,Project Complete,2008,2023,15,08/15/2007 12:00:00 AM,Paid,$48450.00,0,0,0,0,0,10,90,Development Incentives,No,No,No,No,No,No,No,Yes,No,Yes,No,"701 W 28th Street
(39.761737, -75.538856)"
210,3591,The Corner,The Corner Development LLC,The Corner Development LLC,2504 San Gabriel Street,78705,206095,9,Very High,210,42,1/2 Mile,Multifamily,Rental,Project Complete,2017,2032,15,,None,,0,0,21,21,0,0,168,Development Incentives,No,No,No,No,No,No,No,Yes,No,Yes,No,"2504 San Gabriel Street
(30.289998, -97.747639)"
65,3381,2004 Chicon Street,Blackland Community Development Corporation,Blackland Community Development Corporation,2004 Chicon Street,78722,202294,1,Very Low,2,2,>1/2 Mile,Duplex,Rental,Project Complete,2014,2113,99,,None,,0,0,2,0,0,0,0,RHDA,No,No,No,No,No,No,No,No,No,No,No,"2004 Chicon Street
(30.281214, -97.721537)"
6,3229,The Willows,Mary Lee Community,Mary Lee Foundation,1330 Lamar Square Drive,78704,102142,5,Moderate,64,64,1/4 Mile,Multifamily,Rental,Project Complete,2010,2050,40,,None,,32,0,28,0,0,4,0,RHDA,No,No,No,No,No,No,No,Yes,No,No,No,"1330 Lamar Square Drive
(30.254429, -97.764701)"
122,3507,Lakeside Engineering - Duplexes,Lakeside Engineering,Lakeside Engineering,1123 Walton Lane,78721,873514,3,Very Low,8,3,>1/2 Mile,Duplex,Rental,Building Permit Issued / Project Underway,,,5,,None,,0,0,0,0,0,3,5,Development Incentives,No,No,No,No,No,No,No,Yes,No,No,No,"1123 Walton Lane
(30.259459, -97.68762)"
