,Offense_Description,Report_Date,Full_Address
8778,Theft,2-Mar-15,12101 DESSAU RD                                                                                     Austin TX 78754
8780,Theft,18-Mar-15,9200 BURNET RD                                                                                      Austin TX 78758
8781,Theft,16-Oct-15,906 ECHO LN                                                                                         Austin TX 78745
8782,Agg Assault,10-May-15,9422 BROWN LN                                                                                       Austin TX 78754
8783,Theft: Auto Theft,11-Feb-15,4900 BANDERA RD                                                                                     Austin TX 78721
8784,Burglary,2-May-15,5800 TECHNI CENTER DR                                                                               Austin TX 78721
8785,Theft,11-Jul-15,6701 LAKEWOOD DR                                                                                    Austin TX 78731
8786,Robbery,19-Apr-15,1916 COATS CIR                                                                                      Austin TX 78748
8787,Theft,17-Jul-15,1010 E CESAR CHAVEZ ST                                                                              Austin TX 78702
8788,Theft,14-Nov-15,333 E SLAUGHTER LN                                                                                  Austin TX 78744
8789,Theft,13-Aug-15,4301 W WILLIAM CANNON DR                                                                            Austin TX 78749
8790,Theft,1-May-15,1030 NORWOOD PARK BLVD                                                                              Austin TX 78753
8792,Burglary,12-Apr-15,2400 WICKERSHAM LN                                                                                  Austin TX 78741
8793,Theft,10-Oct-15,8904 TEXAS SUN DR                                                                                   Austin TX 78748
8795,Agg Assault,2-Oct-15,5900 W SLAUGHTER LN                                                                                 Austin TX 78749
8796,Theft,21-Nov-15,10119 DIAMONDBACK TRL                                                                               Austin TX 78753
8799,Theft,5-Oct-15,5201 BERKMAN DR                                                                                     Austin TX 78723
8800,Theft,1-Mar-15,1819 S PLEASANT VALLEY RD                                                                           Austin TX 78741
8801,Theft: Auto Theft,25-Jul-15,2612 HIDALGO ST                                                                                     Austin TX 78702
8802,Theft,4-Sep-15,2030 E OLTORF ST                                                                                    Austin TX 78741
8803,Burglary,27-Dec-15,6503 COOPER LN                                                                                      Austin TX 78745
8806,Theft,15-Dec-15,7950 RESEARCH BLVD SVRD SB                                                                          Austin TX 78757
8807,Theft,12-Nov-15,5703 TRACY LYNN LN                                                                                  Austin TX 78721
8809,Theft,2-May-15,1822 RUTLAND DR                                                                                     Austin TX 78758
8810,Theft,4-Aug-15,1500 S PLEASANT VALLEY RD                                                                           Austin TX 78741
8811,Agg Assault,15-Jun-15,7000 DECKER LN                                                                                      Austin TX 78724
8812,Theft,18-Jul-15,325 E 6TH ST                                                                                        Austin TX 78701
8813,Burglary,6-Sep-15,4508 SARASOTA DR                                                                                    Austin TX 78749
8814,Theft,17-Aug-15,8601 RESEARCH BLVD SVRD NB                                                                          Austin TX 78758
8815,Robbery,11-May-15,10201 AMBER OAK CV                                                                                  Austin TX 78748
8817,Theft,24-Nov-15,2508 E RIVERSIDE DR                                                                                 Austin TX 78741
8818,Theft,27-Jan-15,3420 EXECUTIVE CENTER DR                                                                            Austin TX 78731
8819,Theft,13-Jan-15,3908 W BRAKER LN                                                                                    Austin TX 78759
8823,Theft,26-Feb-15,3225 KRAMER LN                                                                                      Austin TX 78758
8824,Theft,4-Oct-15,412 STERZING ST                                                                                     Austin TX 78704
8825,Theft,8-Dec-15,9616 N LAMAR BLVD                                                                                   Austin TX 78758
8826,Theft,6-Feb-15,208 BARTON SPRINGS RD                                                                               Austin TX 78704
8827,Theft,18-Jan-15,8401 TREEHOUSE LN                                                                                   Austin TX 78749
8828,Theft,10-Aug-15,901 W BEN WHITE BLVD EB                                                                             Austin TX 78745
8829,Burglary,12-Jun-15,2120 E RIVERSIDE DR                                                                                 Austin TX 78741
8831,Theft,29-Apr-15,6800 BERKMAN DR                                                                                     Austin TX 78723
8832,Theft: Auto Theft,12-Nov-15,2520 ELMONT DR                                                                                      Austin TX 78741
8833,Burglary,18-Aug-15,6706 STAGE COACH TRL                                                                                Austin TX 78745
8834,Theft,31-Jan-15,806 W 24TH ST                                                                                       Austin TX 78705
8835,Agg Assault,9-May-15,7020 GRAND CANYON DR                                                                                Austin TX 78752
8836,Theft,24-Jun-15,2112 GUADALUPE ST                                                                                   Austin TX 78705
8837,Theft,29-Dec-15,1141 BRECON LN                                                                                      Austin TX 78748
8838,Theft,14-Aug-15,1660 E 51ST ST                                                                                      Austin TX 78723
8839,Burglary,15-May-15,7610 CAMERON RD                                                                                     Austin TX 78752
8840,Theft: Auto Theft,20-Sep-15,1006 REAGAN TER                                                                                     Austin TX 78704
8841,Theft: Auto Theft,20-Jun-15,5501 S CONGRESS AVE                                                                                 Austin TX 78745
8842,Burglary,10-Jan-15,211 ACADEMY DR                                                                                      Austin TX 78704
8843,Theft,2-Jun-15,4606 ALF AVE                                                                                        Austin TX 78721
8844,Theft,10-Apr-15,14010 N US 183 HWY SVRD SB                                                                          Austin TX 78613
8845,Theft,27-Nov-15,5000 SPRINGDALE RD                                                                                  Austin TX 78723
8846,Theft,12-Aug-15,801 E WILLIAM CANNON DR                                                                             Austin TX 78745
8847,Theft,9-Jun-15,11200 LAKELINE MALL DR                                                                              Austin TX 78613
8848,Theft,29-Jun-15,3809 S CONGRESS AVE                                                                                 Austin TX 78704
8850,Theft,28-Apr-15,E 5TH ST / TRINITY ST                                                                               Austin TX 78701
8851,Theft,16-Sep-15,10101 BROWNIE DR                                                                                    Austin TX 78753
8853,Theft,4-Feb-15,1130 CAMINO LA COSTA                                                                                Austin TX 78752
8854,Theft,22-Feb-15,1601 OHLEN RD                                                                                       Austin TX 78758
8855,Theft,7-Oct-15,10515 N MOPAC EXPY SVRD NB                                                                          Austin TX 78758
8856,Burglary,29-Mar-15,1908 MISTYWOOD DR                                                                                   Austin TX 78746
8857,Theft,10-Dec-15,2410 E RIVERSIDE DR                                                                                 Austin TX 78741
8859,Theft,10-Sep-15,13104 BENNINGTON LN                                                                                 Austin TX 78753
8861,Theft,14-Dec-15,1200 BARBARA JORDAN BLVD                                                                            Austin TX 78723
8862,Burglary,8-Sep-15,1405 ETHRIDGE AVE                                                                                   Austin TX 78703
8865,Theft,21-May-15,8313 ROBIN CT                                                                                       Austin TX 78758
8866,Theft,26-May-15,505 E RUNDBERG LN                                                                                   Austin TX 78753
8868,Theft,24-Dec-15,1511 BRAES RIDGE DR                                                                                 Austin TX 78723
8870,Robbery,8-Mar-15,700 W 24TH ST                                                                                       Austin TX 78705
8871,Theft,7-Feb-15,421 W 3RD ST                                                                                        Austin TX 78701
8872,Theft,23-Oct-15,5700 MANCHACA RD                                                                                    Austin TX 78745
8873,Theft,21-Apr-15,2101 BURTON DR                                                                                      Austin TX 78741
8874,Theft,3-Nov-15,2400 LEON ST                                                                                        Austin TX 78705
8876,Theft,14-Nov-15,515 S PLEASANT VALLEY RD                                                                            Austin TX 78741
8877,Burglary,10-Nov-15,11113 BLEICH LN                                                                                     Austin TX 78754
8878,Theft,6-May-15,800 GUADALUPE ST                                                                                    Austin TX 78701
8879,Theft,2-Jun-15,2120 W BRAKER LN                                                                                    Austin TX 78758
8880,Agg Assault,20-Feb-15,1200 MEARNS MEADOW BLVD                                                                             Austin TX 78758
8881,Theft,18-Jan-15,500 E CESAR CHAVEZ ST                                                                               Austin TX 78701
8882,Burglary,3-Jun-15,3000 VAL DR                                                                                         Austin TX 78723
8883,Theft,5-Oct-15,BURTON DR / WOODLAND AVE                                                                            Austin TX 78741
8884,Theft,10-Jul-15,3909 GUADALUPE ST                                                                                   Austin TX 78751
8885,Burglary,25-Nov-15,4511 HEIGHTS DR                                                                                     Austin TX 78746
8886,Burglary,25-Aug-15,1124 RUTLAND DR                                                                                     Austin TX 78758
8888,Theft,3-May-15,8405 OLD BEE CAVES RD                                                                               Austin TX 78735
8889,Burglary,17-Dec-15,3111 PARKER LN                                                                                      Austin TX 78741
8890,Theft,17-Jun-15,901 W BEN WHITE BLVD SVRD EB                                                                        Austin TX 78745
8891,Theft,30-May-15,2124 BURTON DR                                                                                      Austin TX 78741
8892,Theft,30-Sep-15,2525 W ANDERSON LN                                                                                  Austin TX 78757
8893,Theft,14-May-15,3267 BEE CAVES RD                                                                                   Austin TX 78746
8894,Theft,7-Jan-15,12166 METRIC BLVD                                                                                   Austin TX 78758
8895,Theft,19-Jun-15,7112 ED BLUESTEIN BLVD SVRD SB                                                                      Austin TX 78723
8896,Theft: Auto Theft,8-Nov-15,1007 S CONGRESS AVE                                                                                 Austin TX 78704
8897,Theft,27-Sep-15,611 S CONGRESS AVE                                                                                  Austin TX 78704
8898,Agg Assault,8-Jun-15,4404 E OLTORF ST                                                                                    Austin TX 78741
8899,Theft,20-Apr-15,2525 E ANDERSON LN EB                                                                               Austin TX 78752
8900,Theft,9-Aug-15,6700 MIDDLE FISKVILLE RD                                                                            Austin TX 78752
8901,Theft,14-Apr-15,4510 W GUADALUPE ST                                                                                 Austin TX 78751
8902,Theft,13-Mar-15,5600 SATICOY DR                                                                                     Austin TX 78724
8903,Agg Assault,15-Mar-15,1800 RABB GLEN ST                                                                                   Austin TX 78704
8904,Theft,14-May-15,5000 WEST GATE BLVD                                                                                 Austin TX 78745
8905,Robbery,20-Jun-15,10000 N LAMAR BLVD                                                                                  Austin TX 78758
8906,Theft,6-May-15,1088 PARK PLZ                                                                                       Austin TX 78753
8909,Burglary,11-Jul-15,2707 N IH 35 SVRD NB                                                                                Austin TX 78722
8910,Theft,22-Jul-15,7521 CAYENNE LN                                                                                     Austin TX 78741
8911,Theft,22-Jan-15,720 AIRPORT BLVD                                                                                    Austin TX 78702
8913,Theft,13-Jul-15,2400 S CONGRESS AVE                                                                                 Austin TX 78704
8914,Agg Assault,21-May-15,2410 E RIVERSIDE DR                                                                                 Austin TX 78741
8917,Theft,28-May-15,5716 BURNET RD                                                                                      Austin TX 78756
8918,Theft: Auto Theft,29-Sep-15,5300 BLOCK PINE PL                                                                                  Austin TX 78744
8920,Theft,3-Mar-15,5402 AGUA CALIENTE CV                                                                               Austin TX 78744
8921,Theft,20-Jan-15,209 W 5TH ST                                                                                        Austin TX 78701
8922,Agg Assault,14-Jul-15,7000 DECKER LN                                                                                      Austin TX 78724
8923,Theft,13-Dec-15,7585 CHEVY CHASE DR                                                                                 Austin TX 78752
8924,Theft,10-Nov-15,8004 SEMINARY RIDGE DR                                                                              Austin TX 78745
8925,Theft,23-Aug-15,624 N LAMAR BLVD                                                                                    Austin TX 78703
8926,Theft,21-Jun-15,9300 S IH 35 SVRD SB                                                                                Austin TX 78748
8927,Theft,6-Jan-15,9700 STONELAKE BLVD                                                                                 Austin TX 78759
8928,Theft,6-Jul-15,830 W 3RD ST                                                                                        Austin TX 78703
8929,Theft,8-Sep-15,8132 AMELIA CV                                                                                      Austin TX 78750
8930,Theft,3-Aug-15,1824 S IH 35 SVRD SB                                                                                Austin TX 78704
8931,Burglary,16-Dec-15,4617 WHITE ELM DR                                                                                   Austin TX 78749
8932,Theft,16-Mar-15,600 W RIVERSIDE DR                                                                                  Austin TX 78704
8933,Theft,9-May-15,1321 S CONGRESS AVE                                                                                 Austin TX 78704
8934,Theft,31-Jul-15,69 RAINEY ST                                                                                        Austin TX 78701
8935,Theft,16-Jan-15,1030 NORWOOD PARK BLVD                                                                              Austin TX 78753
8936,Theft: Auto Theft,20-Feb-15,4020 BERKMAN DR                                                                                     Austin TX 78723
8937,Theft,28-Sep-15,1530 BARTON SPRINGS RD                                                                              Austin TX 78704
8939,Theft: Auto Theft,8-Jul-15,1330 SHORE DISTRICT DR                                                                              Austin TX 78741
8940,Theft,13-Aug-15,6702 MESA DR                                                                                        Austin TX 78731
8941,Theft,18-Oct-15,6900 BRODIE LN                                                                                      Austin TX 78749
8942,Burglary,7-Mar-15,1647 RUTLAND DR                                                                                     Austin TX 78758
8944,Theft,11-Nov-15,12221 N MOPAC EXPY NB                                                                               Austin TX 78758
8945,Theft,18-Aug-15,13211 BENNINGTON LN                                                                                 Austin TX 78753
8946,Agg Assault,14-Mar-15,1054 SPRINGDALE RD                                                                                  Austin TX 78721
8948,Agg Assault,4-Apr-15,7240 NORTHEAST DR                                                                                   Austin TX 78723
8950,Theft,8-Apr-15,11200 LAKELINE MALL DR                                                                              Austin TX 78613
8951,Burglary,30-Nov-15,5609 COUGAR DR                                                                                      Austin TX 78745
8952,Theft,1-Sep-15,801 E WILLIAM CANNON DR                                                                             Austin TX 78745
8953,Theft,14-Oct-15,1300 E RIVERSIDE DR                                                                                 Austin TX 78741
8955,Robbery,16-Mar-15,1600 BLOCK COMAL ST                                                                                 Austin TX 78702
8956,Theft,13-Nov-15,2525 W ANDERSON LN                                                                                  Austin TX 78757
8957,Theft,5-May-15,1807 W SLAUGHTER LN                                                                                 Austin TX 78748
8958,Burglary,8-Jun-15,2901 S CAPITAL OF TEXAS HWY NB                                                                      Austin TX 78746
8959,Theft,13-Oct-15,4825 DAVIS LN                                                                                       Austin TX 78749
8961,Theft,27-Dec-15,5300 S MOPAC EXPY SVRD SB                                                                           Austin TX 78749
8962,Theft,5-May-15,10710 RESEARCH BLVD NB                                                                              Austin TX 78759
8963,Theft,20-Jun-15,4701 E MARTIN LUTHER KING JR BLVD                                                                   Austin TX 78721
8964,Theft,13-Oct-15,13450N N US 183 HWY SVRD SB                                                                         Austin TX 78750
8965,Theft,12-Nov-15,11113 RESEARCH BLVD NB                                                                              Austin TX 78759
8967,Theft,14-Dec-15,2013 WAYWARD SUN DR                                                                                 Austin TX 78754
8968,Theft: Auto Theft,30-May-15,2207 S 5TH ST                                                                                       Austin TX 78704
8969,Theft,1-Aug-15,5526 N IH 35 SVRD SB                                                                                Austin TX 78751
8970,Theft,10-Sep-15,13276 N US 183 HWY SVRD SB                                                                          Austin TX 78750
8971,Theft,2-Aug-15,9300 S IH 35 SVRD SB                                                                                Austin TX 78748
8972,Theft,1-Jul-15,1166 AIRPORT BLVD                                                                                   Austin TX 78702
8973,Theft,8-Nov-15,6607 S IH 35 SVRD NB                                                                                Austin TX 78744
8975,Theft,24-Aug-15,1914 PASADENA DR                                                                                    Austin TX 78757
8976,Theft,16-Nov-15,1701 W BEN WHITE BLVD EB                                                                            Austin TX 78745
8977,Theft,13-Dec-15,6603 N IH 35 SVRD NB                                                                                Austin TX 78752
8979,Theft,16-Nov-15,1704 NELMS DR                                                                                       Austin TX 78744
8981,Theft,19-Feb-15,1030 NORWOOD PARK BLVD                                                                              Austin TX 78753
8982,Theft,9-Feb-15,1071 CLAYTON LN                                                                                     Austin TX 78723
8984,Theft,31-Aug-15,2701 E 7TH ST                                                                                       Austin TX 78702
8985,Theft,30-Jun-15,104 E STASSNEY LN                                                                                   Austin TX 78745
8986,Theft,21-Dec-15,10550 W PARMER LN                                                                                   Austin TX 78717
8987,Theft,12-Dec-15,800 BLOCK RUTLAND DR                                                                                Austin TX 78758
8989,Theft,12-Mar-15,1600 BLOCK COMAL ST                                                                                 Austin TX 78702
8990,Theft,18-Nov-15,3714 CLARKSON AVE                                                                                   Austin TX 78722
8991,Theft,4-Mar-15,9415 MC NEIL DR                                                                                     Austin TX 78750
8992,Agg Assault,8-Aug-15,3501 LOYOLA LN                                                                                      Austin TX 78723
8993,Theft,11-Apr-15,302 W 38TH HALF ST                                                                                  Austin TX 78751
8994,Robbery,10-Sep-15,900 E BRAKER LN                                                                                     Austin TX 78753
8995,Theft,28-Jan-15,CONGRESS AVE / E 6TH ST                                                                             Austin TX 78701
8996,Theft,18-Sep-15,5503 FERNVIEW RD                                                                                    Austin TX 78745
8997,Burglary,4-Oct-15,7227 E US 290 HWY SVRD EB                                                                           Austin TX 78723
8999,Theft,25-Oct-15,1801 E 51ST ST                                                                                      Austin TX 78723
9000,Robbery,31-Oct-15,E 11TH ST / SAN MARCOS ST                                                                           Austin TX 78702
9004,Theft,15-Jun-15,11200 LAKELINE MALL DR                                                                              Austin TX 78613
9006,Burglary,19-Aug-15,625 E STASSNEY LN                                                                                   Austin TX 78745
9007,Theft,25-Apr-15,12000 N IH 35 SB                                                                                    Austin TX 78753
9008,Burglary,7-Dec-15,1500 E PARMER LN                                                                                    Austin TX 78753
9009,Agg Assault,30-Oct-15,4400 MANCHACA RD                                                                                    Austin TX 78745
9010,Theft,20-Dec-15,7237 E US 290 HWY EB                                                                                Austin TX 78723
9011,Theft,29-Mar-15,1201 BARBARA JORDAN BLVD                                                                            Austin TX 78723
9013,Theft,8-Jun-15,14028 N US 183 HWY SVRD SB                                                                          Austin TX 78613
9016,Theft,30-Aug-15,2701 E 7TH ST                                                                                       Austin TX 78702
9017,Theft,5-Jan-15,2901 S CAPITAL OF TEXAS HWY NB                                                                      Austin TX 78746
9018,Theft,23-Apr-15,4800 N IH 35 SB                                                                                     Austin TX 78751
9019,Theft,5-Apr-15,10810 N LAMAR BLVD                                                                                  Austin TX 78758
9020,Theft: Auto Theft,18-Apr-15,6106 TURTLE DOVE DR                                                                                 Austin TX 78744
9021,Theft,3-Oct-15,1105 CLAYTON LN                                                                                     Austin TX 78723
9022,Theft: Auto Theft,15-Mar-15,7910 WEST GATE BLVD                                                                                 Austin TX 78745
9023,Theft,12-Sep-15,525 N LAMAR BLVD                                                                                    Austin TX 78703
9024,Theft,25-Aug-15,8611 GREEN VALLEY                                                                                   Austin TX 78759
9026,Theft,28-May-15,9600 N IH 35 SVRD SB                                                                                Austin TX 78753
9028,Theft,26-Sep-15,6121 N IH 35 SVRD NB                                                                                Austin TX 78752
9029,Theft,21-Sep-15,400 W ST ELMO RD                                                                                    Austin TX 78745
9030,Theft,30-Oct-15,100 CONGRESS AVE                                                                                    Austin TX 78701
9031,Theft: Auto Theft,25-Apr-15,7588 CHEVY CHASE DR                                                                                 Austin TX 78752
9034,Burglary,28-May-15,1117 GILLESPIE PL                                                                                   Austin TX 78704
9035,Theft,6-Aug-15,9007 ROCKCREST DR                                                                                   Austin TX 78759
9037,Theft,7-May-15,9001 NORTHGATE BLVD                                                                                 Austin TX 78758
9040,Theft,14-Jul-15,9300 S IH 35 SVRD SB                                                                                Austin TX 78748
9041,Theft,18-May-15,504 HARDIN CT                                                                                       Austin TX 78753
9042,Theft,28-Oct-15,8011 TUSCARORA TRL                                                                                  Austin TX 78729
9044,Theft,22-May-15,12403 MELLOW MEADOW DR                                                                              Austin TX 78750
9045,Theft,10-Dec-15,1520 RUTHERFORD LN                                                                                  Austin TX 78754
9046,Theft,4-Sep-15,2502 E OLTORF ST                                                                                    Austin TX 78741
9047,Agg Assault,18-Apr-15,1148 AIRPORT BLVD                                                                                   Austin TX 78702
9048,Theft,29-Dec-15,4500 E OLTORF ST                                                                                    Austin TX 78741
9049,Theft,29-Dec-15,4209 BURNET RD                                                                                      Austin TX 78756
9050,Theft,17-Jul-15,6741 PONCHA PASS                                                                                    Austin TX 78749
9051,Theft,7-Apr-15,2508 E RIVERSIDE DR                                                                                 Austin TX 78741
9052,Theft,5-Feb-15,202 W 55TH ST                                                                                       Austin TX 78751
9053,Theft,2-Dec-15,5700 N MOPAC EXPY NB                                                                                Austin TX 78727
9054,Theft,5-Mar-15,2735 E 7TH ST                                                                                       Austin TX 78702
9055,Theft,23-Mar-15,110 E 2ND ST                                                                                        Austin TX 78701
9057,Agg Assault,23-Feb-15,8312 FRYE RYE DR                                                                                    Austin TX 78747
9058,Theft,24-Dec-15,2900 SUNRIDGE DR                                                                                    Austin TX 78741
9060,Theft,21-May-15,ASPEN GLENN BLVD / BRECKENRIDGE DR                                                                  Austin TX 78744
9061,Burglary,30-Jan-15,14021 TYBURN TRL                                                                                    Austin TX 78717
9062,Theft,8-Dec-15,6007 WESTSIDE DR                                                                                    Austin TX 78731
9063,Theft,29-Oct-15,1434 W WELLS BRANCH PKWY                                                                            Austin TX 78660
9064,Burglary,4-Mar-15,3913 TODD LN                                                                                        Austin TX 78744
9065,Theft,3-Dec-15,2301 S MOPAC EXPY NB                                                                                Austin TX 78746
9067,Burglary,26-Jul-15,8548 N LAMAR BLVD                                                                                   Austin TX 78758
9068,Theft: Auto Theft,21-Oct-15,4811 CREEK BEND DR                                                                                  Austin TX 78744
9069,Theft,11-Feb-15,4315 S CONGRESS AVE                                                                                 Austin TX 78745
9070,Theft,6-Jun-15,1300 E 5TH ST                                                                                       Austin TX 78702
9072,Theft,26-Aug-15,1211 GREEN FOREST DR                                                                                Austin TX 78745
9075,Burglary,9-Dec-15,1315 KENWOOD AVE                                                                                    Austin TX 78704
9077,Theft: Auto Theft,16-Mar-15,7020 GRAND CANYON DR                                                                                Austin TX 78752
9078,Theft,30-Jul-15,817 NECHES ST                                                                                       Austin TX 78701
9079,Theft,15-Feb-15,2425 E RIVERSIDE DR                                                                                 Austin TX 78741
9080,Theft,13-Aug-15,9414 N LAMAR BLVD                                                                                   Austin TX 78758
9081,Theft,10-Apr-15,6850 AUSTIN CENTER BLVD                                                                             Austin TX 78731
9082,Burglary,13-Jul-15,1301 CROSSING PL                                                                                    Austin TX 78741
9083,Theft,12-Sep-15,5329 KING HENRY DR                                                                                  Austin TX 78724
9085,Theft,20-Dec-15,7713 JABORANDI DR                                                                                   Austin TX 78739
9086,Burglary,7-Feb-15,1700 TERI RD                                                                                        Austin TX 78744
9087,Theft,12-Feb-15,2525 W ANDERSON LN                                                                                  Austin TX 78757
9088,Burglary,27-Mar-15,12020 DUNFRIES LN                                                                                   Austin TX 78754
9089,Theft,8-Aug-15,2301 S CONGRESS AVE                                                                                 Austin TX 78704
9090,Robbery,30-Jun-15,3505 S LAMAR BLVD                                                                                   Austin TX 78704
9091,Theft,21-Sep-15,1134 AIRPORT BLVD                                                                                   Austin TX 78702
9092,Theft,16-Sep-15,2027 S LAMAR BLVD                                                                                   Austin TX 78704
9093,Theft,3-Jan-15,1919 S PLEASANT VALLEY RD                                                                           Austin TX 78741
9094,Theft,6-Jan-15,8201 N FM 620 RD                                                                                    Austin TX 78726
9096,Theft,20-May-15,2250 RIDGEPOINT DR                                                                                  Austin TX 78754
9097,Theft,5-Sep-15,2901 S CAPITAL OF TEXAS HWY NB                                                                      Austin TX 78746
9099,Theft,17-Jun-15,2701 NORTHEAST DR                                                                                   Austin TX 78723
9100,Theft,4-Jun-15,525 N LAMAR BLVD                                                                                    Austin TX 78703
9101,Theft,23-May-15,4120 VALLEY VIEW RD                                                                                 Austin TX 78704
9102,Burglary,18-May-15,8726 TALLWOOD DR                                                                                    Austin TX 78759
9106,Theft,2-Jul-15,5300 BASSWOOD LN                                                                                    Austin TX 78723
9107,Theft,28-Apr-15,8888 TALLWOOD DR                                                                                    Austin TX 78759
9108,Theft,18-Sep-15,1511 FARO DR                                                                                        Austin TX 78741
9110,Theft,15-May-15,5501 HONEY DEW TER                                                                                  Austin TX 78749
9112,Theft,31-Jul-15,1110 E 32ND ST                                                                                      Austin TX 78722
9114,Theft,8-Apr-15,4001 S LAMAR BLVD NB                                                                                Austin TX 78704
9115,Theft,10-Jul-15,7904 TURQUOISE TRL                                                                                  Austin TX 78749
9117,Agg Assault,25-Aug-15,3100 KING ST                                                                                        Austin TX 78705
9118,Burglary,18-Mar-15,4600 MONTEREY OAKS BLVD                                                                             Austin TX 78749
9119,Agg Assault,11-Nov-15,8109 VIEW RIDGE DR                                                                                  Austin TX 78724
9120,Theft,23-Jan-15,9800 NEPAL CV                                                                                       Austin TX 78717
9122,Theft,14-May-15,5526 S CONGRESS AVE                                                                                 Austin TX 78745
9123,Theft,19-Sep-15,1804 RABB GLEN ST                                                                                   Austin TX 78704
9124,Theft,8-Oct-15,1710 ALLEGHANY DR                                                                                   Austin TX 78741
9125,Theft,6-Jan-15,3311 ESPERANZA XING                                                                                 Austin TX 78758
9127,Theft,13-Oct-15,2438 W ANDERSON LN                                                                                  Austin TX 78757
9128,Theft,25-Sep-15,2438 W ANDERSON LN                                                                                  Austin TX 78757
9129,Agg Assault,12-Nov-15,2025 W BEN WHITE BLVD EB                                                                            Austin TX 78745
9130,Theft: Auto Theft,6-Sep-15,6611 BURNET LN                                                                                      Austin TX 78757
9131,Burglary,1-May-15,301 PECAN DR                                                                                        Austin TX 78753
9133,Theft,6-May-15,710 E BEN WHITE BLVD SVRD WB                                                                        Austin TX 78704
9135,Theft: Auto Theft,18-Jan-15,900 ACORN OAKS DR                                                                                   Austin TX 78745
9136,Theft,28-Apr-15,1000 E 41ST ST                                                                                      Austin TX 78751
9137,Theft,11-May-15,2303 EUCLID AVE                                                                                     Austin TX 78704
9138,Theft,30-Jul-15,2425 CROMWELL CIR                                                                                   Austin TX 78741
9139,Burglary,4-Dec-15,3612 ABBATE CIR                                                                                     Austin TX 78721
9141,Agg Assault,31-May-15,2202 W NORTH LOOP BLVD                                                                              Austin TX 78756
9142,Theft,24-Sep-15,907 W 5TH ST                                                                                        Austin TX 78703
9143,Theft,28-Oct-15,2401 E 6TH ST                                                                                       Austin TX 78702
9144,Burglary,16-Jun-15,7311 WEST GATE BLVD                                                                                 Austin TX 78745
9145,Theft,8-Apr-15,10101 S 1ST ST                                                                                      Austin TX 78748
9146,Theft,19-May-15,6901 N IH 35 NB                                                                                     Austin TX 78752
9147,Theft,9-Sep-15,3316 GUADALUPE ST                                                                                   Austin TX 78705
9148,Theft: Auto Theft,21-Nov-15,8926 N LAMAR BLVD                                                                                   Austin TX 78758
9149,Theft,12-Oct-15,2800 BARTON SPRINGS RD                                                                              Austin TX 78746
9150,Theft,22-Jun-15,12520 N IH 35 SB                                                                                    Austin TX 78753
9152,Theft,10-Mar-15,11350 FOUR POINTS DR                                                                                Austin TX 78726
9153,Theft,3-Apr-15,5804 N IH 35 SVRD SB                                                                                Austin TX 78751
9154,Theft,2-Feb-15,7510 ST PHILLIP ST                                                                                  Austin TX 78757
9155,Burglary,2-Aug-15,13325 ARMAGA SPRINGS RD                                                                             Austin TX 78727
9156,Theft,4-Apr-15,1030 NORWOOD PARK BLVD                                                                              Austin TX 78753
9157,Theft,22-May-15,4911 GANYMEDE DR                                                                                    Austin TX 78727
9158,Theft,21-Apr-15,2311 S 5TH ST                                                                                       Austin TX 78704
9161,Theft,21-Jul-15,6300 E US 290 HWY WB                                                                                Austin TX 78752
9163,Theft,24-Oct-15,2501 PEARL ST                                                                                       Austin TX 78705
9164,Burglary,23-Dec-15,1701 W BEN WHITE BLVD SVRD EB                                                                       Austin TX 78745
9165,Theft,17-Dec-15,1732 ROYAL HILL DR                                                                                  Austin TX 78741
9167,Theft,5-May-15,1118 COLLINWOOD WEST DR                                                                             Austin TX 78753
9168,Theft,5-Jul-15,1913 LITTLEFIELD ST                                                                                 Austin TX 78723
9169,Theft,3-May-15,2508 E RIVERSIDE DR                                                                                 Austin TX 78741
9170,Theft,12-Mar-15,710 E BEN WHITE BLVD EB                                                                             Austin TX 78745
9171,Theft: Auto Theft,28-Jan-15,9310 RENTAL CAR LN                                                                                  Austin TX 78719
9172,Theft,2-Mar-15,11612 BRANDON PARKE TRL                                                                             Austin TX 78750
9173,Agg Assault,24-Jun-15,10900 BLOCK S IH 35 SVRD NB                                                                         Austin TX 78747
9174,Theft,9-Oct-15,2410 E RIVERSIDE DR                                                                                 Austin TX 78741
9175,Theft,15-Nov-15,3111 MARY ST                                                                                        Austin TX 78617
9176,Theft,12-Oct-15,10515 N MOPAC EXPY NB                                                                               Austin TX 78758
9177,Theft,1-Feb-15,2005 KENNETH AVE                                                                                    Austin TX 78741
9178,Theft,4-Jul-15,11501 ALTERRA PKWY                                                                                  Austin TX 78758
9179,Theft,31-Jul-15,8917 RESEARCH BLVD NB                                                                               Austin TX 78758
9181,Theft,27-May-15,9300 S IH 35 SVRD SB                                                                                Austin TX 78748
9182,Theft: Auto Theft,2-Feb-15,9000 S CONGRESS AVE                                                                                 Austin TX 78748
9183,Theft,7-Jan-15,11160 JOLLYVILLE RD                                                                                 Austin TX 78759
9185,Theft: Auto Theft,6-Jul-15,2422 WESTERN TRAILS BLVD                                                                            Austin TX 78745
9186,Theft,24-Mar-15,6319 DORCHESTER DR                                                                                  Austin TX 78723
9187,Theft,13-May-15,2508 E RIVERSIDE DR                                                                                 Austin TX 78741
