PRIMARY_KEY,REP_DATE,REP_TIME,SEX,AGE_AT_OFFENSE,APD_RACE_DESC,LOCATION,PERSON_SEARCHED_DESC,REASON_FOR_STOP_DESC,SEARCH_BASED_ON_DESC,SEARCH_DISC_DESC,RACE_KNOWN,X_COORDINATE,Y_COORDINATE,SECTOR,LOCAL_FIELD1
201530185,1/3/15 00:00,200,M,22,HISPANIC OR LATINO,9200 N LAMAR BLVD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,PROBABLE CAUSE,DRUGS,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3127570,10105025,EDWARD,4
201530195,1/3/15 00:00,206,M,27,WHITE,2463 RUTLAND DR,NO = 2,,,,,3119712,10112641,ADAM PD,7
201530195,1/3/15 00:00,206,M,33,WHITE,2463 RUTLAND DR,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3119712,10112641,ADAM PD,7
201530342,1/3/15 00:00,605,F,27,BLACK,1400 RUTLAND DR,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3124854,10108083,EDWARD,4
201530342,1/3/15 00:00,605,M,35,BLACK,1400 RUTLAND DR,YES = 1,CALL FOR SERVICE,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3124854,10108083,EDWARD,4
201530356,1/3/15 00:00,502,M,28,HISPANIC OR LATINO,200 E OLTORF ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,FRISK FOR SAFETY,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3111454,10059910,HENR,9
201530363,1/3/15 00:00,512,M,38,HISPANIC OR LATINO,4800 BLOCK PUTTERS CV,YES = 1,CALL FOR SERVICE,FRISK FOR SAFETY,OTHER,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3115139,10044135,FRANK,2
201530486,1/3/15 00:00,715,M,22,HISPANIC OR LATINO,3000 ED BLUESTEIN BLVD NB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3136983,10070629,CHARLIE,1
201530657,1/3/15 00:00,1118,M,49,WHITE,1700 E OLTORF ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3115980,10058043,HENR,9
201530710,1/3/15 00:00,1145,F,53,HISPANIC OR LATINO,800 E 11TH ST,NO = 2,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,,,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3117592,10071666,CHARLIE,1
201530727,1/3/15 00:00,1205,M,25,HISPANIC OR LATINO,1600 S IH 35 NB,NO = 2,CALL FOR SERVICE,,,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3116512,10061143,HENR,9
201531375,1/3/15 00:00,2104,M,24,BLACK,1400 ASTOR PL,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,PROBABLE CAUSE,CASH,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3131370,10076107,CHARLIE,1
