Offense_Description,Report_Date,Full Address,Zip
Theft: Auto Theft,26-Oct-15,8707 VERONA TRL                                                                                     ,78749
Theft,2-Feb-15,1806 MORROW ST                                                                                      ,78757
Theft,30-Jan-15,419 E 6TH ST                                                                                        ,78701
Theft,14-Jul-15,1300 SPYGLASS DR                                                                                    ,78746
Burglary,3-Feb-15,4503 SAN SIMEON DR                                                                                  ,78749
Theft,11-Apr-15,1000 E 41ST ST                                                                                      ,78751
Theft,26-Jul-15,WHELESS LN / BERKMAN DR                                                                             ,78723
Theft,19-Apr-15,1606 COMAL ST                                                                                       ,78702
Theft,28-Jan-15,404 E 6TH ST                                                                                        ,78701
Theft,10-Mar-15,W 21ST ST / GUADALUPE ST                                                                            ,78705
Theft,29-Apr-15,6202 OLD HARBOR LN                                                                                  ,78739
Theft,28-Apr-15,1511 FARO DR                                                                                        ,78741
Theft,25-Sep-15,7313 BRECOURT MANOR WAY                                                                             ,78739
Theft,11-Dec-15,2300 W BEN WHITE BLVD SVRD WB                                                                       ,78704
Theft,7-Jan-15,5214 OVERBROOK DR                                                                                   ,78723
Theft,27-Sep-15,6500 BRUSH COUNTRY RD                                                                               ,78749
Burglary,21-Dec-15,5660 N IH 35 SVRD SB                                                                                ,78751
Burglary,18-Mar-15,12611 RESEARCH BLVD NB                                                                              ,78727
Theft,26-Jan-15,1606 CATTLE TRL                                                                                     ,78748
Theft,4-Jun-15,2408 LONGVIEW ST                                                                                    ,78705
Theft,22-Apr-15,DUVAL ST / E 42ND ST                                                                                ,78751
Theft,28-May-15,2209 ARPDALE ST                                                                                     ,78704
Theft,6-Mar-15,8515 BRODIE LN                                                                                      ,78745
Burglary,30-Mar-15,2909 KINNEY AVE                                                                                     ,78704
Theft,27-Jun-15,700 E 3RD ST                                                                                        ,78701
Theft,6-Nov-15,900 W 26TH ST                                                                                       ,78705
Theft,21-Nov-15,85 TRINITY ST                                                                                       ,78701
Theft,30-Jul-15,3201 S LAMAR BLVD                                                                                   ,78704
Theft,10-Dec-15,1214 S 1ST ST                                                                                       ,78704
Theft,25-Jun-15,3201 DUVAL RD                                                                                       ,78759
Burglary,22-Dec-15,9009 N FM 620 RD                                                                                    ,78726
Theft,29-Dec-15,2550 S IH 35 SVRD SB                                                                                ,78704
Agg Assault,16-Nov-15,400 W ST ELMO RD                                                                                    ,78745
Theft,10-Jul-15,235 CANYON RIDGE DR                                                                                 ,78753
Theft,9-Oct-15,5500 BENNETT AVE                                                                                    ,78751
Theft,10-Aug-15,1030 NORWOOD PARK BLVD                                                                              ,78753
Robbery,7-Aug-15,SAN MARCOS ST / E 9TH ST                                                                            ,78702
Theft: Auto Theft,6-Oct-15,2400 BITTER CREEK DR                                                                                ,78744
Theft,17-Jun-15,13609 N IH 35 SVRD NB                                                                               ,78753
Theft,29-May-15,1709 ULIT AVE                                                                                       ,78702
Theft,22-Mar-15,7521 MARBLE CREST DR                                                                                ,78747
Theft,13-Jul-15,11200 LAKELINE MALL DR                                                                              ,78613
Theft,30-Sep-15,E 5TH ST / NAVASOTA ST                                                                              ,78702
Robbery,4-Jul-15,4602 E STASSNEY LN                                                                                  ,78744
Theft: Auto Theft,20-Aug-15,13112 KENSWICK DR                                                                                   ,78754
Theft,3-Apr-15,E RIVERSIDE DR / S PLEASANT VALLEY RD                                                               ,78741
Burglary,26-Dec-15,7311 INSPIRATION DR                                                                                 ,78724
Theft: Auto Theft,8-Mar-15,629 W BEN WHITE BLVD SVRD EB                                                                        ,78745
Theft: Auto Theft,6-Aug-15,6307 CAMERON RD                                                                                     ,78723
Theft,26-Mar-15,11815 N FM 620 RD                                                                                   ,78750
Theft,21-Aug-15,2222 E OLTORF ST                                                                                    ,78741
Theft,31-Mar-15,3600 S IH 35 SVRD SB                                                                                ,78704
Burglary,25-Oct-15,207 WHITE OAK DR                                                                                    ,78753
Theft,21-Nov-15,3505 ALPINE CIR                                                                                     ,78704
Robbery,26-Aug-15,10910 DOMAIN DR                                                                                     ,78758
Theft,27-Jun-15,5500 ALOMAR CV                                                                                      ,78617
Theft,20-Dec-15,4516 STEED DR                                                                                       ,78749
Theft,9-Sep-15,6207 HYSIDE DR                                                                                      ,78723
Agg Assault,15-Jul-15,8400 GARCREEK CIR                                                                                   ,78724
Theft,23-Dec-15,5701 COUGAR DR                                                                                      ,78745
Theft,14-Jan-15,11108 BLISSFIELD CV                                                                                 ,78739
Theft,20-Feb-15,5310 GROVER AVE                                                                                     ,78756
Theft,26-Dec-15,2200 BLOCK TERI RD                                                                                  ,78744
Burglary,8-Mar-15,2601 S PLEASANT VALLEY RD                                                                           ,78741
Burglary,2-Dec-15,10624 LORD DERBY DR                                                                                 ,78748
Burglary,10-Jun-15,5002 NUCKOLS CROSSING RD                                                                            ,78744
Theft,22-Aug-15,9300 S IH 35 SVRD SB                                                                                ,78748
Theft,10-Jul-15,1701 E BEN WHITE BLVD EB                                                                            ,78744
Theft,28-May-15,1747 E OLTORF ST                                                                                    ,78741
Burglary,30-Jun-15,5809 LOBLOLLY LN                                                                                    ,78744
Burglary,2-Jul-15,1108 FLORADALE DR                                                                                   ,78753
Theft,23-Mar-15,8701 SOUTHWICK DR                                                                                   ,78724
Theft,3-Jul-15,710 E BEN WHITE BLVD EB                                                                             ,78745
Theft,9-Jun-15,500 E 7TH ST                                                                                        ,78701
Theft: Auto Theft,10-Feb-15,E 7TH ST / SAN JACINTO BLVD                                                                         ,78701
Theft,21-May-15,9600 S IH 35 SVRD SB                                                                                ,78748
Theft: Auto Theft,28-Sep-15,10111 N LAMAR BLVD                                                                                  ,78753
Theft,5-Dec-15,5200 E STASSNEY LN                                                                                  ,78744
Theft,4-May-15,3303 DOLPHIN CV                                                                                     ,78704
Theft,21-Oct-15,12901 N IH 35 SVRD NB                                                                               ,78753
Theft,6-Jul-15,710 E BEN WHITE BLVD SVRD WB                                                                        ,78704
Theft,1-Mar-15,7719 WOOD HOLLOW DR                                                                                 ,78731
Burglary,19-Aug-15,1301 CLOVERLEAF DR                                                                                  ,78723
Theft,20-Jun-15,1030 NORWOOD PARK BLVD                                                                              ,78753
Theft,22-Aug-15,6504 DANWOOD DR                                                                                     ,78759
Burglary,28-Dec-15,8701 PINEY POINT DR                                                                                 ,78729
Theft,30-Sep-15,8909 PARKFIELD DR                                                                                   ,78758
Burglary,19-Sep-15,8221 N IH 35 SVRD NB                                                                                ,78753
Theft,11-Nov-15,2607 S IH 35 SVRD NB                                                                                ,78741
Theft,20-Sep-15,9826 NORTH LAKE CREEK PKWY                                                                          ,78717
Theft,13-Apr-15,9414 N LAMAR BLVD                                                                                   ,78758
Agg Assault,3-Nov-15,1400 RUTHERFORD LN                                                                                  ,78753
Theft,10-Feb-15,1608 E RIVERSIDE DR                                                                                 ,78741
Theft,18-May-15,1111 MONTOPOLIS DR                                                                                  ,78741
Robbery,9-Sep-15,8201 N LAMAR BLVD                                                                                   ,78753
Theft,17-Feb-15,10114 JOLLYVILLE RD                                                                                 ,78759
Theft,23-Sep-15,3212 S CONGRESS AVE                                                                                 ,78704
Theft,3-Aug-15,2600 SCOFIELD RIDGE PKWY                                                                            ,78727
Agg Assault,15-Apr-15,4400 BLOCK AVENUE G                                                                                 ,78751
Theft,5-Oct-15,3700 S 1ST ST                                                                                       ,78704
Burglary,29-May-15,2308 PRUETT ST                                                                                      ,78703
Theft,28-Sep-15,1030 NORWOOD PARK BLVD                                                                              ,78753
Theft,26-Dec-15,421 W 3RD ST                                                                                        ,78701
Robbery,8-Feb-15,W 5TH ST / COLORADO ST                                                                              ,78701
Burglary,19-Feb-15,5301 JIMMY CLAY DR                                                                                  ,78744
Theft: Auto Theft,6-Feb-15,9507 ABERDEEN WAY                                                                                   ,78753
Theft,29-Aug-15,4404 E OLTORF ST                                                                                    ,78741
Theft,23-Jan-15,12021 METRIC BLVD                                                                                   ,78758
Theft,9-Jan-15,11001 S 1ST ST                                                                                      ,78748
Theft,4-Mar-15,6007 N IH 35 SVRD NB                                                                                ,78723
Burglary,1-Sep-15,12408 HARRIS BRANCH PKWY                                                                            ,78653
Theft,22-Jul-15,2943 E 12TH ST                                                                                      ,78702
Theft: Auto Theft,3-Nov-15,1406 ASHWOOD RD                                                                                     ,78722
Theft,10-Feb-15,1109 S PLEASANT VALLEY RD                                                                           ,78741
Theft,7-Jun-15,500 E STASSNEY LN                                                                                   ,78745
Theft,11-Mar-15,4400 N LAMAR BLVD                                                                                   ,78756
Burglary,15-Jan-15,5609 COUGAR DR                                                                                      ,78745
Theft,29-Jun-15,4302 TWISTED TREE DR                                                                                ,78735
Theft,18-Dec-15,820 E ANDERSON LN EB                                                                                ,78752
Theft,6-Sep-15,STEPHEN F AUSTIN DR / VETERANS DR                                                                   ,78703
Burglary,14-Jan-15,1806 E RIVERSIDE DR                                                                                 ,78741
Theft,12-Feb-15,2211 HIDALGO ST                                                                                     ,78702
Theft,23-Jul-15,7103 CREEKSIDE DR                                                                                   ,78752
Theft,20-Feb-15,12103 SUNDERLAND DR                                                                                 ,78753
Agg Assault,22-May-15,106 E 35TH ST                                                                                       ,78705
Theft,2-Dec-15,500 E 7TH ST                                                                                        ,78701
Theft,13-Feb-15,208 E OLTORF ST                                                                                     ,78704
Theft,6-May-15,6406 HANEY DR                                                                                       ,78723
Theft,4-May-15,6412 STARSTREAK DR                                                                                  ,78745
Burglary,15-Jan-15,1500 W WILLIAM CANNON DR                                                                            ,78745
Theft: Auto Theft,30-Jun-15,3102 CORBIN LN                                                                                      ,78704
Burglary,23-May-15,11028 JOLLYVILLE RD                                                                                 ,78759
Theft,2-Jun-15,500 E 7TH ST                                                                                        ,78701
Theft,27-Nov-15,3404 S US 183 HWY SB                                                                                ,78744
Burglary,25-Feb-15,7001 MUCKENDER LN                                                                                   ,78754
Theft,4-Jan-15,10200 PRISM DR                                                                                      ,78726
Burglary,12-Oct-15,1604 SAHARA AVE                                                                                     ,78745
Theft,20-Jul-15,825 E RUNDBERG LN                                                                                   ,78753
Theft,20-Nov-15,500 E 12TH ST                                                                                       ,78701
Theft,14-Nov-15,69 MILDRED ST                                                                                       ,78702
Theft,3-Jun-15,8405 OLD BEE CAVES RD                                                                               ,78735
Agg Assault,1-Jan-15,1225 DEXFORD DR                                                                                     ,78753
Theft,24-Aug-15,1000 E 41ST ST                                                                                      ,78751
Theft,22-Mar-15,2605 ENFIELD RD                                                                                     ,78703
Burglary,8-Apr-15,3201 ESPERANZA XING                                                                                 ,78758
Theft,9-Jul-15,GUADALUPE ST / W 8TH ST                                                                             ,78701
Theft,7-Oct-15,1703 TRAVIS HEIGHTS BLVD                                                                            ,78704
Theft,1-Mar-15,8700 BRODIE LN                                                                                      ,78749
Theft,1-Nov-15,2302 E WILLIAM CANNON DR                                                                            ,78744
Theft,26-Sep-15,9200 NORTH PLZ                                                                                      ,78753
Theft,10-Jun-15,6124 WAGON BEND TRL                                                                                 ,78744
Robbery,18-Aug-15,200 BLOCK CANYON RIDGE DR                                                                           ,78753
Theft,18-May-15,12001 DESSAU RD                                                                                     ,78754
Theft,14-Jul-15,500 E 6TH ST                                                                                        ,78701
Theft,8-Jul-15,905 E 14TH ST                                                                                       ,78702
Theft,14-Sep-15,12900 N IH 35 SVRD SB                                                                               ,78753
Theft,10-Mar-15,333 E SLAUGHTER LN                                                                                  ,78744
Agg Assault,19-Dec-15,4700 E RIVERSIDE DR                                                                                 ,78741
Theft,29-Jan-15,7600 WOOD HOLLOW DR                                                                                 ,78731
Theft,12-Feb-15,3801 SPEEDWAY                                                                                       ,78751
Robbery,18-Apr-15,5621 N IH 35 SVRD NB                                                                                ,78723
Theft,29-May-15,5000 SPRINGDALE RD                                                                                  ,78723
Theft,4-Apr-15,3112 E CESAR CHAVEZ ST                                                                              ,78702
Theft,20-Jan-15,9002 EAST DR                                                                                        ,78753
Theft,7-May-15,8120 EXCHANGE DR                                                                                    ,78754
Theft,8-Mar-15,8805 PANADERO DR                                                                                    ,78747
Theft,6-Mar-15,13309 N IH 35 SVRD NB                                                                               ,78753
Theft,4-Jul-15,606 E 7TH ST                                                                                        ,78701
Theft,31-Jul-15,2505 WILKE DR                                                                                       ,78704
Theft: Auto Theft,6-Oct-15,1212 S LAMAR BLVD                                                                                   ,78704
Theft,30-Aug-15,9300 S IH 35 SVRD SB                                                                                ,78748
Burglary,17-Aug-15,3300 PARKER LN                                                                                      ,78741
Burglary,12-May-15,1601 MONTOPOLIS DR                                                                                  ,78741
Theft: Auto Theft,21-Jul-15,1619 CRIPPLE CREEK DR                                                                               ,78758
Burglary,17-Nov-15,1905 E STASSNEY LN                                                                                  ,78744
Theft,26-Aug-15,825 E RUNDBERG LN                                                                                   ,78753
Theft,21-Aug-15,1816 E 6TH ST                                                                                       ,78702
Theft,10-Apr-15,1181 AIRPORT BLVD                                                                                   ,78721
Theft,1-Sep-15,6100 E RIVERSIDE DR                                                                                 ,78741
Theft,9-Jun-15,2901 S CAPITAL OF TEXAS HWY NB                                                                      ,78746
Theft,14-Apr-15,4301 W WILLIAM CANNON DR                                                                            ,78749
Theft,19-Sep-15,301 BATTLE BEND BLVD                                                                                ,78745
Theft,1-Sep-15,2025 W BEN WHITE BLVD SVRD EB                                                                       ,78745
Theft,17-Sep-15,3600 PRESIDENTIAL BLVD                                                                              ,78719
Robbery,28-Jul-15,3904 CARMEL DR                                                                                      ,78721
Theft,1-Mar-15,1725 TOOMEY RD                                                                                      ,78704
Theft,28-Jul-15,1200 E 11TH ST                                                                                      ,78702
Theft,20-Feb-15,9900 S IH 35 NB                                                                                     ,78744
Burglary,2-Jun-15,807 EDGECLIFF TER                                                                                   ,78704
Burglary,30-Apr-15,6503 BLUFF SPRINGS RD                                                                               ,78744
Theft,18-May-15,6800 DERBY DOWNS DR                                                                                 ,78747
Theft,31-Dec-15,4625 W WILLIAM CANNON DR                                                                            ,78749
Burglary,1-Jun-15,5352 WESTMINSTER DR                                                                                 ,78723
Burglary,2-Apr-15,9504 N IH 35 NB                                                                                     ,78753
Theft,11-Feb-15,9500 S IH 35 SVRD SB                                                                                ,78748
Theft: Auto Theft,1-Dec-15,6600 ED BLUESTEIN BLVD SB                                                                           ,78723
Theft,3-Aug-15,4700 E RIVERSIDE DR                                                                                 ,78741
Theft,6-Dec-15,98 SAN JACINTO BLVD                                                                                 ,78701
Burglary,11-Sep-15,1604 WHELESS LN                                                                                     ,78723
Theft,25-Sep-15,12212 TECHNOLOGY BLVD                                                                               ,78727
Theft,28-Oct-15,W 2ND ST / COLORADO ST                                                                              ,78701
Theft,22-Dec-15,621 TWELVE OAKS LN                                                                                  ,78704
Theft,1-Apr-15,415 W 24TH ST                                                                                       ,78705
Theft,13-Aug-15,8225 N FM 620 RD                                                                                    ,78726
Theft,25-Sep-15,5301 MANOR RD                                                                                       ,78723
Theft,2-Sep-15,1810 CRESTHAVEN DR                                                                                  ,78704
Theft: Auto Theft,4-Feb-15,11934 SHROPSHIRE BLVD                                                                               ,78753
Theft,29-Nov-15,9300 S IH 35 SVRD SB                                                                                ,78748
Theft,12-Feb-15,9500 S IH 35 SVRD SB                                                                                ,78748
Theft,6-Sep-15,1050 E 11TH ST                                                                                      ,78702
Theft,14-Nov-15,9920 QUAIL BLVD                                                                                     ,78758
Theft,4-Nov-15,7100 W US 290 HWY EB                                                                                ,78749
Theft,13-Sep-15,525 N LAMAR BLVD                                                                                    ,78703
Theft,17-Jul-15,11066 PECAN PARK BLVD                                                                               ,78613
Theft,1-Sep-15,800 GUADALUPE ST                                                                                    ,78701
Theft,27-Nov-15,6419 AIRPORT BLVD                                                                                   ,78752
Robbery,25-Jan-15,2901 S CAPITAL OF TEXAS HWY NB                                                                      ,78746
Theft,12-May-15,3600 S IH 35 SVRD SB                                                                                ,78704
Agg Assault,27-Oct-15,5605 MANOR RD                                                                                       ,78723
Burglary,24-Apr-15,1502 RUTLAND DR                                                                                     ,78758
Burglary,14-Jan-15,6200 TINER TRL                                                                                      ,78724
Agg Assault,5-Feb-15,800 BLOCK THURMOND ST                                                                               ,78758
Theft,10-Sep-15,7935 BURNET RD                                                                                      ,78757
Theft,16-Nov-15,6602 S CONGRESS AVE                                                                                 ,78745
Theft,17-Mar-15,1515 WICKERSHAM LN                                                                                  ,78741
Theft,9-Jan-15,1030 NORWOOD PARK BLVD                                                                              ,78753
Theft,11-Dec-15,500 E CESAR CHAVEZ ST                                                                               ,78701
Theft,22-Oct-15,1030 NORWOOD PARK BLVD                                                                              ,78753
Theft,27-Jul-15,E 6TH ST / CONGRESS AVE                                                                             ,78701
Theft,3-Aug-15,1201 W 38TH ST                                                                                      ,78705
Theft,26-Mar-15,5801 AINEZ DR                                                                                       ,78744
Burglary,30-Jun-15,1404 LARKWOOD DR                                                                                    ,78723
Agg Assault,13-Sep-15,3337 E 12TH ST                                                                                      ,78721
Theft,2-Nov-15,9401 N IH 35 SVRD NB                                                                                ,78753
Theft,16-May-15,2400 S CONGRESS AVE                                                                                 ,78704
Theft,6-Aug-15,9901 BURNET RD                                                                                      ,78758
Theft,10-Sep-15,2322 SANTA MARIA ST                                                                                 ,78702
Theft,20-Dec-15,3600 S IH 35 SVRD SB                                                                                ,78704
Theft,8-Mar-15,2701 E 7TH ST                                                                                       ,78702
Burglary,16-Feb-15,2205 MAXWELL LN                                                                                     ,78741
Theft,28-Apr-15,12345 N LAMAR BLVD                                                                                  ,78753
Theft,13-Jul-15,6601 BACK BAY LN                                                                                    ,78739
Theft: Auto Theft,17-Nov-15,4401 S CONGRESS AVE                                                                                 ,78745
Theft,21-Dec-15,1300 W BEN WHITE BLVD SVRD WB                                                                       ,78704
Theft,13-Jan-15,12138 N LAMAR BLVD                                                                                  ,78758
Theft,10-Aug-15,2900 SUNRIDGE DR                                                                                    ,78741
Theft,10-Jun-15,9301 SPECTRUM DR                                                                                    ,78717
Burglary,2-Jun-15,4509 E WILLIAM CANNON DR                                                                            ,78744
Theft,17-May-15,1817 E OLTORF ST                                                                                    ,78741
Theft,11-Apr-15,2324 GUADALUPE ST                                                                                   ,78705
Theft: Auto Theft,13-Jul-15,1011 1/2 W 25TH ST                                                                                  ,78705
Theft,29-May-15,7120 MITRA DR                                                                                       ,78739
Theft,11-Oct-15,2001 ROBERT BROWNING ST                                                                             ,78723
Theft,26-Jan-15,8301 BRADFORD EDWARD CV                                                                             ,78759
Theft,4-Feb-15,3903 PALOMAR LN                                                                                     ,78727
Theft,12-May-15,6401 CARRINGTON DR                                                                                  ,78749
Theft,17-May-15,4208 SPEEDWAY                                                                                       ,78751
Theft,21-Apr-15,6800 BURNET RD                                                                                      ,78757
Theft,12-Nov-15,4553 GUADALUPE ST                                                                                   ,78751
Theft,8-Jul-15,6800 MC NEIL DR                                                                                     ,78729
Theft,6-May-15,1000 E 41ST ST                                                                                      ,78751
Theft,28-May-15,5400 FREIDRICH LN                                                                                   ,78744
Burglary,3-Dec-15,11310 WALNUT RIDGE DR                                                                               ,78753
Burglary,7-May-15,6808 S IH 35 SVRD SB                                                                                ,78745
Theft,3-Jun-15,200 E 6TH ST                                                                                        ,78701
Theft: Auto Theft,30-Jul-15,8200 ALCORN CIR                                                                                     ,78748
Theft,30-Sep-15,4404 W WILLIAM CANNON DR                                                                            ,78749
Theft,14-Mar-15,610 NUECES ST                                                                                       ,78701
Theft,4-Jun-15,501 E OLTORF ST                                                                                     ,78704
Theft,23-Feb-15,7800 SOUTHWEST PKWY                                                                                 ,78735
Theft,21-May-15,1600 E SH 71 EB                                                                                     ,78719
Theft,5-Aug-15,3107 CORBIN LN                                                                                      ,78704
Theft,22-Dec-15,2404 PRUETT ST                                                                                      ,78703
Theft,18-Sep-15,3321 SILK OAK DR                                                                                    ,78748
Burglary,11-Dec-15,1515 WICKERSHAM LN                                                                                  ,78741
Agg Assault,29-Nov-15,8010 N IH 35 SVRD SB                                                                                ,78753
Theft,14-Aug-15,9052 GALEWOOD DR                                                                                    ,78758
Burglary,3-Aug-15,8406 GARCREEK CIR                                                                                   ,78724
Theft,26-Mar-15,9105 OVALLA DR                                                                                      ,78749
Theft,17-Jun-15,2400 S CONGRESS AVE                                                                                 ,78704
Burglary,17-Jan-15,2728 S CONGRESS AVE                                                                                 ,78704
Theft,7-Dec-15,900 E 51ST ST                                                                                       ,78751
Theft,24-Sep-15,1202 S CONGRESS AVE                                                                                 ,78704
Theft,27-Nov-15,603 N LAMAR BLVD                                                                                    ,78703
Burglary,17-Mar-15,5807 VIEWPOINT DR                                                                                   ,78744
Theft,20-Aug-15,1190 AIRPORT BLVD                                                                                   ,78702
Theft,29-Sep-15,4904 OLDFORT HILL DR                                                                                ,78723
Theft,14-Apr-15,7805 FINCH TRL                                                                                      ,78745
Theft,25-Sep-15,2101 W ANDERSON LN                                                                                  ,78757
Agg Assault,26-Aug-15,5609 HONEYBEE BND                                                                                   ,78744
Theft,1-Dec-15,310 LIGHTSEY RD                                                                                     ,78704
Theft,13-Apr-15,902 W OLTORF ST                                                                                     ,78704
Theft,18-Jun-15,710 E BEN WHITE BLVD EB                                                                             ,78745
Agg Assault,25-Apr-15,1309 W RUNDBERG LN                                                                                  ,78758
Theft,20-Jun-15,1700 TERI RD                                                                                        ,78744
Theft,28-Sep-15,5101 BURNET RD                                                                                      ,78756
Theft,15-Oct-15,3401 WEBBERVILLE RD                                                                                 ,78702
Theft,19-Oct-15,8024 EXCHANGE DR                                                                                    ,78754
Theft,11-Nov-15,5701 W SLAUGHTER LN                                                                                 ,78739
Theft,26-Nov-15,3000 SILVERLEAF DR                                                                                  ,78757
Theft,21-Aug-15,9300 S IH 35 SVRD SB                                                                                ,78748
Theft,24-Apr-15,1830 SIMOND AVE                                                                                     ,78723
Robbery,3-May-15,10925 STONELAKE BLVD                                                                                ,78759
Theft,18-Jul-15,133 E BEN WHITE BLVD SVRD EB                                                                        ,78745
Theft,6-Feb-15,1728 W ANDERSON LN                                                                                  ,78757
Robbery,1-Apr-15,5800 S PLEASANT VALLEY RD                                                                           ,78744
Theft,30-Sep-15,9300 S IH 35 SVRD SB                                                                                ,78748
Theft,14-Apr-15,9414 N LAMAR BLVD                                                                                   ,78758
Theft,9-Nov-15,8520 BRADFORD DR                                                                                    ,78758
Theft,7-Nov-15,4900 MUELLER BLVD                                                                                   ,78723
Theft,15-Feb-15,2015 E RIVERSIDE DR                                                                                 ,78741
Burglary,18-Nov-15,4532 CLAWSON RD                                                                                     ,78745
Theft,25-Apr-15,2508 E RIVERSIDE DR                                                                                 ,78741
Theft,3-Aug-15,2100 WICKERSHAM LN                                                                                  ,78741
Theft,25-Jan-15,1701 DARTMOUTH AVE                                                                                  ,78757
Theft,27-Aug-15,1301 CROSSING PL                                                                                    ,78741
Burglary,15-Sep-15,1306 RADAM CIR                                                                                      ,78745
Theft,17-Jan-15,5621 N IH 35 SVRD NB                                                                                ,78723
Burglary,28-Oct-15,3733 DROSSETT DR                                                                                    ,78744
Theft,5-Jun-15,8225 N FM 620 RD                                                                                    ,78726
Theft,13-Nov-15,11200 LAKELINE BLVD                                                                                 ,78717
Theft,5-Feb-15,4201 FAR WEST BLVD                                                                                  ,78731
Theft,22-Oct-15,9600 BLOCK S IH 35 NB                                                                               ,78744
Theft,12-Nov-15,2100 BARTON SPRINGS RD                                                                              ,78746
Theft: Auto Theft,26-Dec-15,2606 WHELESS LN                                                                                     ,78723
Theft,13-Feb-15,1103 TILLERY ST                                                                                     ,78702
Agg Assault,26-Aug-15,8201 N LAMAR BLVD                                                                                   ,78753
Theft,31-Jul-15,2301 S MOPAC EXPY SVRD NB                                                                           ,78746
Theft,28-Oct-15,400 E 30TH ST                                                                                       ,78705
Theft,19-Nov-15,11066 PECAN PARK BLVD                                                                               ,78613
Theft,14-Dec-15,9700 N CAPITAL OF TEXAS HWY NB                                                                      ,78759
Theft,16-Dec-15,13355 N US 183 HWY SVRD NB                                                                          ,78729
Burglary,18-Sep-15,4409 SHOAL CREEK BLVD                                                                               ,78756
Theft,18-Aug-15,10900 LAKELINE MALL DR                                                                              ,78717
Burglary,21-Jan-15,1605 J J SEABROOK DR                                                                                ,78721
Theft,16-Oct-15,1400 E RUNDBERG LN                                                                                  ,78753
Theft,14-Sep-15,2222 E OLTORF ST                                                                                    ,78741
Burglary,17-Feb-15,9900 QUAIL BLVD                                                                                     ,78758
Theft,10-Sep-15,4604 LYRA CIR                                                                                       ,78744
Theft,29-Aug-15,E 6TH ST / TRINITY ST                                                                               ,78701
Burglary,2-Nov-15,2701 S LAMAR BLVD                                                                                   ,78704
Agg Assault,10-Aug-15,10407 JOLLYVILLE RD                                                                                 ,78759
Theft: Auto Theft,1-Apr-15,10101 W PARMER LN                                                                                   ,78717
Theft,23-Mar-15,5602 N LAMAR BLVD                                                                                   ,78756
Theft,1-Dec-15,10710 RESEARCH BLVD SVRD SB                                                                         ,78759
Theft,7-Dec-15,12017 AMHERST DR                                                                                    ,78759
Theft,10-Jul-15,711 W 32ND ST                                                                                       ,78705
Theft,9-Jun-15,2606 WHELESS LN                                                                                     ,78723
Theft,23-Jan-15,6729 MANOR RD                                                                                       ,78723
Theft,23-Dec-15,5000 SPRINGDALE RD                                                                                  ,78723
Burglary,7-Apr-15,11400 N MOPAC EXPY NB                                                                               ,78727
Theft,15-Sep-15,8601 RESEARCH BLVD NB                                                                               ,78758
Robbery,3-Mar-15,9300 S IH 35 SVRD SB                                                                                ,78748
Burglary,29-Sep-15,1704 TOOMEY RD                                                                                      ,78704
Theft,17-Nov-15,3508 MONTOPOLIS DR                                                                                  ,78744
Theft,29-Jun-15,6503 BLUFF SPRINGS RD                                                                               ,78744
Burglary,12-Feb-15,5306 S IH 35 SVRD SB                                                                                ,78745
Theft,16-Jan-15,2502 HARTFORD RD                                                                                    ,78703
Theft,26-Sep-15,500 CANYON RIDGE DR                                                                                 ,78753
Theft,25-Oct-15,2901 S CAPITAL OF TEXAS HWY NB                                                                      ,78746
Agg Assault,21-May-15,PAYTON GIN RD / RESEARCH BLVD SVRD SB                                                               ,78757
Burglary,30-Apr-15,12591 RESEARCH BLVD SVRD NB                                                                         ,78727
Theft,25-Aug-15,7800 N IH 35 SVRD NB                                                                                ,78753
